date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,3803.12,3810.0,3630.33,3702.9,29991.77835,3701.23,3810.0,3630.33,179.67000000000007,179.67000000000007,-101.88999999999987
2018-12-30,3696.71,3903.5,3657.9,3801.91,33222.369262,3803.12,3903.5,3657.9,245.5999999999999,245.5999999999999,106.40999999999985
2018-12-29,3839.0,3892.0,3670.0,3695.32,38874.373903,3696.71,3892.0,3670.0,222.0,222.0,-142.28999999999996
2018-12-28,3567.89,3887.25,3540.04,3839.26,45964.304987,3839.0,3887.25,3540.04,347.21000000000004,347.21000000000004,271.1100000000001
2018-12-27,3777.74,3813.98,3535.0,3567.91,44097.392912,3567.89,3813.98,3535.0,278.98,278.98,-209.8499999999999
2018-12-26,3745.56,3837.15,3656.74,3777.74,42629.375817,3777.74,3837.15,3656.74,180.4100000000003,180.4100000000003,32.179999999999836
2018-12-25,4010.11,4020.0,3646.41,3745.79,62725.629432,3745.56,4020.0,3646.41,373.59000000000015,373.59000000000015,-264.5500000000002
2018-12-24,3929.71,4198.0,3924.83,4008.01,64647.809129,4010.11,4198.0,3924.83,273.1700000000001,273.1700000000001,80.40000000000009
2018-12-23,3948.91,4021.53,3870.0,3929.71,40117.531529,3929.71,4021.53,3870.0,151.5300000000002,151.5300000000002,-19.199999999999818
2018-12-22,3840.25,3979.0,3785.0,3948.91,42822.350872,3948.91,3979.0,3785.0,194.0,194.0,108.65999999999985
2018-12-21,4051.86,4139.99,3764.0,3838.66,82343.850112,3840.25,4139.99,3764.0,375.9899999999998,375.9899999999998,-211.61000000000013
2018-12-20,3660.01,4120.0,3635.0,4049.62,101543.835986,4051.86,4120.0,3635.0,485.0,485.0,391.8499999999999
2018-12-19,3653.0,3912.73,3622.55,3662.22,94137.341014,3660.01,3912.73,3622.55,290.17999999999984,290.17999999999984,7.010000000000218
2018-12-18,3509.03,3678.59,3424.47,3652.98,61369.615257,3653.0,3678.59,3424.47,254.12000000000035,254.12000000000035,143.9699999999998
2018-12-17,3229.22,3585.0,3216.0,3509.08,66761.751697,3509.03,3585.0,3216.0,369.0,369.0,279.8100000000004
2018-12-16,3211.71,3294.0,3186.0,3228.67,24628.808538,3229.22,3294.0,3186.0,108.0,108.0,17.509999999999764
2018-12-15,3225.19,3276.5,3156.26,3211.72,29796.041436,3211.71,3276.5,3156.26,120.23999999999978,120.23999999999978,-13.480000000000018
2018-12-14,3302.06,3335.39,3177.0,3224.17,44492.983807,3225.19,3335.39,3177.0,158.38999999999987,158.38999999999987,-76.86999999999989
2018-12-13,3446.38,3460.0,3255.5,3302.06,40040.917013,3302.06,3460.0,3255.5,204.5,204.5,-144.32000000000016
2018-12-12,3379.23,3492.0,3350.0,3445.0,33922.931286,3446.38,3492.0,3350.0,142.0,142.0,67.15000000000009
2018-12-11,3434.01,3480.0,3324.32,3380.39,35920.864154,3379.23,3480.0,3324.32,155.67999999999984,155.67999999999984,-54.7800000000002
2018-12-10,3548.49,3610.0,3370.11,3432.88,40989.244553,3434.01,3610.0,3370.11,239.88999999999987,239.88999999999987,-114.47999999999956
2018-12-09,3411.36,3658.0,3394.04,3545.37,45956.893296,3548.49,3658.0,3394.04,263.96000000000004,263.96000000000004,137.12999999999965
2018-12-08,3403.57,3495.0,3222.0,3410.93,55365.949949,3411.36,3495.0,3222.0,273.0,273.0,7.789999999999964
2018-12-07,3508.75,3549.99,3224.6,3403.55,95145.457442,3403.57,3549.99,3224.6,325.3899999999999,325.3899999999999,-105.17999999999984
2018-12-06,3768.44,3899.99,3500.0,3508.75,68378.796943,3508.75,3899.99,3500.0,399.9899999999998,399.9899999999998,-259.69000000000005
2018-12-05,3950.98,3970.0,3745.0,3769.84,44004.799448,3768.44,3970.0,3745.0,225.0,225.0,-182.53999999999996
2018-12-04,3884.76,4085.0,3781.0,3951.64,48489.551613,3950.98,4085.0,3781.0,304.0,304.0,66.2199999999998
2018-12-03,4160.55,4179.0,3827.0,3884.01,49094.369163,3884.76,4179.0,3827.0,352.0,352.0,-275.78999999999996
2018-12-02,4190.98,4312.99,4103.04,4161.01,38912.15479,4160.55,4312.99,4103.04,209.94999999999982,209.94999999999982,-30.42999999999938
2018-12-01,4041.27,4299.99,3963.01,4190.02,44840.073481,4190.98,4299.99,3963.01,336.97999999999956,336.97999999999956,149.70999999999958
2018-11-30,4295.72,4341.36,3943.0,4041.32,67758.446283,4041.27,4341.36,3943.0,398.3599999999997,398.3599999999997,-254.45000000000027
2018-11-29,4262.06,4450.38,4125.65,4295.84,73980.198669,4295.72,4450.38,4125.65,324.7300000000005,324.7300000000005,33.659999999999854
2018-11-28,3875.63,4394.47,3874.27,4264.85,91983.567949,4262.06,4394.47,3874.27,520.2000000000003,520.2000000000003,386.4300000000003
2018-11-27,3864.45,3940.0,3689.12,3875.21,67480.607212,3875.63,3940.0,3689.12,250.8800000000001,250.8800000000001,11.180000000000291
2018-11-26,4088.69,4206.0,3701.0,3862.2,94503.750767,3864.45,4206.0,3701.0,505.0,505.0,-224.24000000000024
2018-11-25,3933.68,4233.0,3652.66,4085.78,101693.975588,4088.69,4233.0,3652.66,580.3400000000001,580.3400000000001,155.01000000000022
2018-11-24,4415.63,4527.0,3824.69,3932.44,61693.111006,3933.68,4527.0,3824.69,702.31,702.31,-481.9500000000003
2018-11-23,4370.9,4484.0,4222.94,4420.61,49371.920322,4415.63,4484.0,4222.94,261.0600000000004,261.0600000000004,44.73000000000047
2018-11-22,4661.08,4721.77,4335.0,4370.0,34531.119143,4370.9,4721.77,4335.0,386.77000000000044,386.77000000000044,-290.1800000000003
2018-11-21,4559.91,4787.2,4413.85,4661.07,61071.829475,4661.08,4787.2,4413.85,373.34999999999945,373.34999999999945,101.17000000000007
2018-11-20,4913.4,5048.24,4326.0,4558.86,117380.95159,4559.91,5048.24,4326.0,722.2399999999998,722.2399999999998,-353.4899999999998
2018-11-19,5661.94,5664.0,4855.0,4910.03,70580.892856,4913.4,5664.0,4855.0,809.0,809.0,-748.54
2018-11-18,5630.49,5738.17,5617.0,5662.0,23844.999347,5661.94,5738.17,5617.0,121.17000000000007,121.17000000000007,31.449999999999818
2018-11-17,5650.57,5656.6,5565.43,5628.29,26411.241413,5630.49,5656.6,5565.43,91.17000000000007,91.17000000000007,-20.079999999999927
2018-11-16,5757.09,5782.89,5549.25,5655.94,38721.802274,5650.57,5782.89,5549.25,233.64000000000033,233.64000000000033,-106.52000000000044
2018-11-15,5917.2,5939.54,5403.42,5753.4,47700.829401,5757.09,5939.54,5403.42,536.1199999999999,536.1199999999999,-160.10999999999967
2018-11-14,6458.98,6482.84,5656.87,5922.41,46478.964003,5917.2,6482.84,5656.87,825.9700000000003,825.9700000000003,-541.7799999999997
2018-11-13,6451.68,6498.0,6391.15,6457.66,11790.564933,6458.98,6498.0,6391.15,106.85000000000036,106.85000000000036,7.299999999999272
2018-11-12,6450.71,6497.0,6421.0,6453.07,10132.782567,6451.68,6497.0,6421.0,76.0,76.0,0.9700000000002547
2018-11-11,6435.16,6462.14,6355.0,6449.81,8213.507117,6450.71,6462.14,6355.0,107.14000000000033,107.14000000000033,15.550000000000182
2018-11-10,6419.99,6475.55,6411.0,6433.05,7714.829926,6435.16,6475.55,6411.0,64.55000000000018,64.55000000000018,15.170000000000073
2018-11-09,6479.84,6511.53,6391.01,6419.99,11787.616583,6419.99,6511.53,6391.01,120.51999999999953,120.51999999999953,-59.850000000000364
2018-11-08,6578.46,6594.0,6468.22,6479.84,13259.789282,6479.84,6594.0,6468.22,125.77999999999975,125.77999999999975,-98.61999999999989
2018-11-07,6522.73,6615.15,6509.0,6578.46,14271.591117,6578.46,6615.15,6509.0,106.14999999999964,106.14999999999964,55.73000000000047
2018-11-06,6468.99,6531.31,6445.18,6519.11,11926.565699,6522.73,6531.31,6445.18,86.13000000000011,86.13000000000011,53.73999999999978
2018-11-05,6485.85,6504.39,6431.02,6468.99,8987.882156,6468.99,6504.39,6431.02,73.36999999999989,73.36999999999989,-16.860000000000582
2018-11-04,6388.0,6525.0,6359.0,6485.85,10592.394943,6485.85,6525.0,6359.0,166.0,166.0,97.85000000000036
2018-11-03,6432.8,6439.97,6345.0,6387.09,7661.241476,6388.0,6439.97,6345.0,94.97000000000025,94.97000000000025,-44.80000000000018
2018-11-02,6410.0,6460.34,6388.2,6433.98,9739.440679,6432.8,6460.34,6388.2,72.14000000000033,72.14000000000033,22.800000000000182
2018-11-01,6369.52,6442.65,6348.66,6410.0,9099.035841,6410.0,6442.65,6348.66,93.98999999999978,93.98999999999978,40.47999999999956
2018-10-31,6330.01,6428.0,6245.02,6371.93,12148.888216,6369.52,6428.0,6245.02,182.97999999999956,182.97999999999956,39.51000000000022
2018-10-30,6344.5,6395.0,6317.01,6330.87,8877.175385,6330.01,6395.0,6317.01,77.98999999999978,77.98999999999978,-14.489999999999782
2018-10-29,6489.93,6505.01,6315.0,6344.5,13827.224067,6344.5,6505.01,6315.0,190.01000000000022,190.01000000000022,-145.4300000000003
2018-10-28,6505.6,6514.17,6453.0,6489.93,5743.933728,6489.93,6514.17,6453.0,61.17000000000007,61.17000000000007,-15.670000000000073
2018-10-27,6538.63,6558.35,6463.04,6505.6,7776.907864,6505.6,6558.35,6463.04,95.3100000000004,95.3100000000004,-33.029999999999745
2018-10-26,6528.13,6600.0,6515.01,6538.63,9443.504156,6538.63,6600.0,6515.01,84.98999999999978,84.98999999999978,10.5
2018-10-25,6566.81,6575.09,6502.8,6528.09,10342.701244,6528.13,6575.09,6502.8,72.28999999999996,72.28999999999996,-38.68000000000029
2018-10-24,6553.51,6630.0,6547.53,6565.5,11951.543977,6566.81,6630.0,6547.53,82.47000000000025,82.47000000000025,13.300000000000182
2018-10-23,6581.2,6595.0,6515.45,6553.51,13856.601756,6553.51,6595.0,6515.45,79.55000000000018,79.55000000000018,-27.6899999999996
2018-10-22,6590.12,6639.0,6535.27,6581.2,16213.69266,6581.2,6639.0,6535.27,103.72999999999956,103.72999999999956,-8.920000000000073
