timestamp,sentiment,tally
2018-01-01,negative,47
2018-01-01,neutral,586
2018-01-01,positive,387
2018-01-02,negative,74
2018-01-02,neutral,619
2018-01-02,positive,325
2018-01-03,negative,58
2018-01-03,neutral,595
2018-01-03,positive,367
2018-01-04,negative,82
2018-01-04,neutral,590
2018-01-04,positive,348
2018-01-05,negative,100
2018-01-05,neutral,555
2018-01-05,positive,365
2018-01-06,negative,71
2018-01-06,neutral,625
2018-01-06,positive,324
2018-01-07,negative,71
2018-01-07,neutral,635
2018-01-07,positive,314
2018-01-08,negative,65
2018-01-08,neutral,573
2018-01-08,positive,382
2018-01-09,negative,87
2018-01-09,neutral,543
2018-01-09,positive,389
2018-01-10,negative,103
2018-01-10,neutral,545
2018-01-10,positive,372
2018-01-11,negative,83
2018-01-11,neutral,597
2018-01-11,positive,339
2018-01-12,negative,51
2018-01-12,neutral,617
2018-01-12,positive,352
2018-01-13,negative,2
2018-01-13,neutral,12
2018-01-13,positive,6
2018-01-14,negative,52
2018-01-14,neutral,665
2018-01-14,positive,303
2018-01-15,negative,72
2018-01-15,neutral,647
2018-01-15,positive,301
2018-01-16,negative,69
2018-01-16,neutral,639
2018-01-16,positive,312
2018-01-17,negative,73
2018-01-17,neutral,562
2018-01-17,positive,385
2018-01-18,negative,68
2018-01-18,neutral,611
2018-01-18,positive,341
2018-01-19,negative,57
2018-01-19,neutral,586
2018-01-19,positive,377
2018-01-20,negative,120
2018-01-20,neutral,610
2018-01-20,positive,290
2018-01-21,negative,55
2018-01-21,neutral,645
2018-01-21,positive,320
2018-01-22,negative,42
2018-01-22,neutral,632
2018-01-22,positive,346
2018-01-23,negative,61
2018-01-23,neutral,614
2018-01-23,positive,345
2018-01-24,negative,51
2018-01-24,neutral,662
2018-01-24,positive,307
2018-01-25,negative,65
2018-01-25,neutral,562
2018-01-25,positive,393
2018-01-26,negative,64
2018-01-26,neutral,542
2018-01-26,positive,414
2018-01-27,negative,62
2018-01-27,neutral,604
2018-01-27,positive,354
2018-01-28,negative,62
2018-01-28,neutral,650
2018-01-28,positive,308
2018-01-29,negative,71
2018-01-29,neutral,655
2018-01-29,positive,294
2018-01-30,negative,68
2018-01-30,neutral,558
2018-01-30,positive,394
2018-01-31,negative,56
2018-01-31,neutral,574
2018-01-31,positive,390
2018-02-01,negative,52
2018-02-01,neutral,614
2018-02-01,positive,353
2018-02-02,negative,65
2018-02-02,neutral,591
2018-02-02,positive,364
2018-02-03,negative,86
2018-02-03,neutral,604
2018-02-03,positive,330
2018-02-04,negative,102
2018-02-04,neutral,653
2018-02-04,positive,265
2018-02-05,negative,54
2018-02-05,neutral,631
2018-02-05,positive,335
2018-02-06,negative,56
2018-02-06,neutral,581
2018-02-06,positive,383
2018-02-07,negative,71
2018-02-07,neutral,633
2018-02-07,positive,316
2018-02-08,negative,48
2018-02-08,neutral,593
2018-02-08,positive,379
2018-02-09,negative,64
2018-02-09,neutral,621
2018-02-09,positive,335
2018-02-10,negative,56
2018-02-10,neutral,598
2018-02-10,positive,366
2018-02-11,negative,51
2018-02-11,neutral,637
2018-02-11,positive,332
2018-02-12,negative,55
2018-02-12,neutral,633
2018-02-12,positive,332
2018-02-13,negative,57
2018-02-13,neutral,547
2018-02-13,positive,416
2018-02-14,negative,21
2018-02-14,neutral,156
2018-02-14,positive,123
2018-02-15,negative,56
2018-02-15,neutral,616
2018-02-15,positive,348
2018-02-16,negative,55
2018-02-16,neutral,573
2018-02-16,positive,392
2018-02-17,negative,102
2018-02-17,neutral,556
2018-02-17,positive,362
2018-02-18,negative,84
2018-02-18,neutral,561
2018-02-18,positive,375
2018-02-19,negative,55
2018-02-19,neutral,685
2018-02-19,positive,280
2018-02-20,negative,69
2018-02-20,neutral,618
2018-02-20,positive,333
2018-02-21,negative,63
2018-02-21,neutral,606
2018-02-21,positive,351
2018-02-22,negative,72
2018-02-22,neutral,583
2018-02-22,positive,365
2018-02-23,negative,51
2018-02-23,neutral,602
2018-02-23,positive,367
2018-02-24,negative,60
2018-02-24,neutral,540
2018-02-24,positive,420
2018-02-25,negative,62
2018-02-25,neutral,508
2018-02-25,positive,450
2018-02-26,negative,52
2018-02-26,neutral,545
2018-02-26,positive,423
2018-02-27,negative,58
2018-02-27,neutral,551
2018-02-27,positive,411
2018-02-28,negative,65
2018-02-28,neutral,535
2018-02-28,positive,420
2018-03-01,negative,61
2018-03-01,neutral,554
2018-03-01,positive,405
2018-03-02,negative,74
2018-03-02,neutral,548
2018-03-02,positive,398
2018-03-03,negative,71
2018-03-03,neutral,561
2018-03-03,positive,388
2018-03-04,negative,72
2018-03-04,neutral,620
2018-03-04,positive,328
2018-03-05,negative,61
2018-03-05,neutral,577
2018-03-05,positive,382
2018-03-06,negative,75
2018-03-06,neutral,563
2018-03-06,positive,382
2018-03-07,negative,43
2018-03-07,neutral,615
2018-03-07,positive,362
2018-03-08,negative,51
2018-03-08,neutral,566
