timestamp,sentiment,tally
2018-01-01,negative,129
2018-01-01,neutral,100
2018-01-01,positive,791
2018-01-02,negative,159
2018-01-02,neutral,144
2018-01-02,positive,715
2018-01-03,negative,131
2018-01-03,neutral,124
2018-01-03,positive,765
2018-01-04,negative,155
2018-01-04,neutral,101
2018-01-04,positive,764
2018-01-05,negative,137
2018-01-05,neutral,112
2018-01-05,positive,771
2018-01-06,negative,148
2018-01-06,neutral,110
2018-01-06,positive,762
2018-01-07,negative,147
2018-01-07,neutral,110
2018-01-07,positive,763
2018-01-08,negative,140
2018-01-08,neutral,97
2018-01-08,positive,783
2018-01-09,negative,139
2018-01-09,neutral,115
2018-01-09,positive,765
2018-01-10,negative,151
2018-01-10,neutral,100
2018-01-10,positive,769
2018-01-11,negative,146
2018-01-11,neutral,103
2018-01-11,positive,770
2018-01-12,negative,158
2018-01-12,neutral,119
2018-01-12,positive,743
2018-01-13,negative,5
2018-01-13,neutral,2
2018-01-13,positive,13
2018-01-14,negative,163
2018-01-14,neutral,117
2018-01-14,positive,740
2018-01-15,negative,140
2018-01-15,neutral,124
2018-01-15,positive,756
2018-01-16,negative,144
2018-01-16,neutral,120
2018-01-16,positive,756
2018-01-17,negative,186
2018-01-17,neutral,110
2018-01-17,positive,724
2018-01-18,negative,143
2018-01-18,neutral,100
2018-01-18,positive,777
2018-01-19,negative,146
2018-01-19,neutral,121
2018-01-19,positive,753
2018-01-20,negative,128
2018-01-20,neutral,130
2018-01-20,positive,762
2018-01-21,negative,137
2018-01-21,neutral,119
2018-01-21,positive,764
2018-01-22,negative,174
2018-01-22,neutral,123
2018-01-22,positive,723
2018-01-23,negative,149
2018-01-23,neutral,153
2018-01-23,positive,718
2018-01-24,negative,139
2018-01-24,neutral,115
2018-01-24,positive,766
2018-01-25,negative,151
2018-01-25,neutral,105
2018-01-25,positive,764
2018-01-26,negative,130
2018-01-26,neutral,119
2018-01-26,positive,771
2018-01-27,negative,120
2018-01-27,neutral,104
2018-01-27,positive,796
2018-01-28,negative,121
2018-01-28,neutral,108
2018-01-28,positive,791
2018-01-29,negative,134
2018-01-29,neutral,97
2018-01-29,positive,789
2018-01-30,negative,150
2018-01-30,neutral,120
2018-01-30,positive,750
2018-01-31,negative,152
2018-01-31,neutral,117
2018-01-31,positive,751
2018-02-01,negative,139
2018-02-01,neutral,135
2018-02-01,positive,745
2018-02-02,negative,104
2018-02-02,neutral,95
2018-02-02,positive,821
2018-02-03,negative,121
2018-02-03,neutral,115
2018-02-03,positive,784
2018-02-04,negative,146
2018-02-04,neutral,95
2018-02-04,positive,779
2018-02-05,negative,184
2018-02-05,neutral,121
2018-02-05,positive,715
2018-02-06,negative,131
2018-02-06,neutral,125
2018-02-06,positive,764
2018-02-07,negative,167
2018-02-07,neutral,114
2018-02-07,positive,739
2018-02-08,negative,145
2018-02-08,neutral,114
2018-02-08,positive,761
2018-02-09,negative,125
2018-02-09,neutral,130
2018-02-09,positive,765
2018-02-10,negative,152
2018-02-10,neutral,92
2018-02-10,positive,776
2018-02-11,negative,143
2018-02-11,neutral,115
2018-02-11,positive,762
2018-02-12,negative,153
2018-02-12,neutral,110
2018-02-12,positive,757
2018-02-13,negative,145
2018-02-13,neutral,92
2018-02-13,positive,783
2018-02-14,negative,38
2018-02-14,neutral,32
2018-02-14,positive,230
2018-02-15,negative,108
2018-02-15,neutral,115
2018-02-15,positive,797
2018-02-16,negative,134
2018-02-16,neutral,97
2018-02-16,positive,789
2018-02-17,negative,127
2018-02-17,neutral,113
2018-02-17,positive,780
2018-02-18,negative,131
2018-02-18,neutral,114
2018-02-18,positive,775
2018-02-19,negative,140
2018-02-19,neutral,113
2018-02-19,positive,767
2018-02-20,negative,140
2018-02-20,neutral,133
2018-02-20,positive,747
2018-02-21,negative,136
2018-02-21,neutral,123
2018-02-21,positive,761
2018-02-22,negative,139
2018-02-22,neutral,121
2018-02-22,positive,760
2018-02-23,negative,123
2018-02-23,neutral,124
2018-02-23,positive,773
2018-02-24,negative,144
2018-02-24,neutral,119
2018-02-24,positive,757
2018-02-25,negative,137
2018-02-25,neutral,92
2018-02-25,positive,791
2018-02-26,negative,136
2018-02-26,neutral,115
2018-02-26,positive,769
2018-02-27,negative,148
2018-02-27,neutral,109
2018-02-27,positive,763
2018-02-28,negative,130
2018-02-28,neutral,144
2018-02-28,positive,746
2018-03-01,negative,154
2018-03-01,neutral,94
2018-03-01,positive,772
2018-03-02,negative,155
2018-03-02,neutral,122
2018-03-02,positive,743
2018-03-03,negative,138
2018-03-03,neutral,122
2018-03-03,positive,760
2018-03-04,negative,120
2018-03-04,neutral,112
2018-03-04,positive,788
2018-03-05,negative,129
2018-03-05,neutral,133
2018-03-05,positive,758
2018-03-06,negative,115
2018-03-06,neutral,116
2018-03-06,positive,789
2018-03-07,negative,134
2018-03-07,neutral,120
2018-03-07,positive,766
2018-03-08,negative,140
2018-03-08,neutral,117
2018-03-08,positive,763
2018-03-09,negative,129
2018-03-09,neutral,114
2018-03-09,positive,777
2018-03-10,negative,121
2018-03-10,neutral,119
2018-03-10,positive,780
2018-03-11,negative,140
2018-03-11,neutral,113
2018-03-11,positive,767
2018-03-12,negative,144
2018-03-12,neutral,118
2018-03-12,positive,758
2018-03-13,negative,137
2018-03-13,neutral,132
2018-03-13,positive,751
2018-03-14,negative,161
2018-03-14,neutral,118
2018-03-14,positive,741
2018-03-15,negative,147
2018-03-15,neutral,112
2018-03-15,positive,761
2018-03-16,negative,136
2018-03-16,neutral,131
2018-03-16,positive,753
2018-03-17,negative,136
2018-03-17,neutral,108
2018-03-17,positive,776
2018-03-18,negative,137
2018-03-18,neutral,141
2018-03-18,positive,742
2018-03-19,negative,134
2018-03-19,neutral,123
2018-03-19,positive,763
2018-03-20,negative,158
2018-03-20,neutral,130
2018-03-20,positive,732
2018-03-21,negative,129
2018-03-21,neutral,126
2018-03-21,positive,765
2018-03-22,negative,159
2018-03-22,neutral,121
2018-03-22,positive,740
2018-03-23,negative,141
2018-03-23,neutral,122
2018-03-23,positive,757
2018-03-24,negative,153
2018-03-24,neutral,147
2018-03-24,positive,720
2018-03-25,negative,123
2018-03-25,neutral,101
2018-03-25,positive,796
2018-03-26,negative,130
2018-03-26,neutral,121
2018-03-26,positive,769
2018-03-27,negative,143
2018-03-27,neutral,107
2018-03-27,positive,770
2018-03-28,negative,151
2018-03-28,neutral,104
2018-03-28,positive,765
2018-03-29,negative,135
2018-03-29,neutral,130
2018-03-29,positive,755
2018-03-30,negative,162
2018-03-30,neutral,138
2018-03-30,positive,720
2018-03-31,negative,124
2018-03-31,neutral,117
2018-03-31,positive,779
2018-04-01,negative,152
2018-04-01,neutral,109
2018-04-01,positive,758
2018-04-02,negative,170
2018-04-02,neutral,129
2018-04-02,positive,721
2018-04-03,negative,155
2018-04-03,neutral,123
2018-04-03,positive,742
2018-04-04,negative,145
2018-04-04,neutral,132
2018-04-04,positive,743
2018-04-05,negative,147
2018-04-05,neutral,123
2018-04-05,positive,750
2018-04-06,negative,127
2018-04-06,neutral,128
2018-04-06,positive,765
2018-04-07,negative,150
2018-04-07,neutral,103
2018-04-07,positive,767
2018-04-08,negative,141
2018-04-08,neutral,124
2018-04-08,positive,755
2018-04-09,negative,125
2018-04-09,neutral,130
2018-04-09,positive,765
2018-04-10,negative,131
2018-04-10,neutral,106
2018-04-10,positive,783
2018-04-11,negative,159
2018-04-11,neutral,128
2018-04-11,positive,733
2018-04-12,negative,145
2018-04-12,neutral,131
2018-04-12,positive,744
2018-04-13,negative,123
2018-04-13,neutral,109
2018-04-13,positive,788
2018-04-14,negative,84
2018-04-14,neutral,92
2018-04-14,positive,843
2018-04-15,negative,124
2018-04-15,neutral,142
2018-04-15,positive,754
2018-04-16,negative,163
2018-04-16,neutral,125
2018-04-16,positive,732
2018-04-17,negative,73
2018-04-17,neutral,99
2018-04-17,positive,508
2018-04-18,negative,148
2018-04-18,neutral,125
2018-04-18,positive,747
2018-04-19,negative,114
2018-04-19,neutral,211
2018-04-19,positive,695
2018-04-20,negative,148
2018-04-20,neutral,117
2018-04-20,positive,755
2018-04-21,negative,131
2018-04-21,neutral,124
2018-04-21,positive,765
2018-04-22,negative,143
2018-04-22,neutral,134
2018-04-22,positive,743
2018-04-23,negative,127
2018-04-23,neutral,136
2018-04-23,positive,757
2018-04-24,negative,137
2018-04-24,neutral,150
2018-04-24,positive,733
2018-04-25,negative,127
2018-04-25,neutral,148
2018-04-25,positive,745
2018-04-26,negative,133
2018-04-26,neutral,146
2018-04-26,positive,741
2018-04-27,negative,136
2018-04-27,neutral,150
2018-04-27,positive,734
2018-04-28,negative,153
2018-04-28,neutral,177
2018-04-28,positive,690
2018-04-29,negative,136
2018-04-29,neutral,192
2018-04-29,positive,692
2018-04-30,negative,124
2018-04-30,neutral,196
2018-04-30,positive,700
2018-05-01,negative,155
2018-05-01,neutral,177
2018-05-01,positive,688
2018-05-02,negative,156
2018-05-02,neutral,163
2018-05-02,positive,701
2018-05-03,negative,141
2018-05-03,neutral,182
2018-05-03,positive,697
2018-05-04,negative,155
2018-05-04,neutral,156
2018-05-04,positive,709
2018-05-05,negative,150
2018-05-05,neutral,133
2018-05-05,positive,737
2018-05-06,negative,128
2018-05-06,neutral,148
2018-05-06,positive,744
2018-05-07,negative,155
2018-05-07,neutral,142
2018-05-07,positive,723
2018-05-08,negative,100
2018-05-08,neutral,99
2018-05-08,positive,821
2018-05-09,negative,123
2018-05-09,neutral,119
2018-05-09,positive,778
2018-05-10,negative,134
2018-05-10,neutral,134
2018-05-10,positive,752
2018-05-11,negative,148
2018-05-11,neutral,139
2018-05-11,positive,733
2018-05-12,negative,147
2018-05-12,neutral,130
2018-05-12,positive,743
2018-05-13,negative,150
2018-05-13,neutral,113
2018-05-13,positive,757
2018-05-14,negative,137
2018-05-14,neutral,123
2018-05-14,positive,760
2018-05-15,negative,99
2018-05-15,neutral,100
2018-05-15,positive,821
2018-05-16,negative,103
2018-05-16,neutral,145
2018-05-16,positive,772
2018-05-17,negative,143
2018-05-17,neutral,126
2018-05-17,positive,751
2018-05-18,negative,148
2018-05-18,neutral,133
2018-05-18,positive,738
2018-05-19,negative,172
2018-05-19,neutral,109
2018-05-19,positive,739
2018-05-20,negative,122
2018-05-20,neutral,134
2018-05-20,positive,764
2018-05-21,negative,123
2018-05-21,neutral,198
2018-05-21,positive,699
2018-05-22,negative,103
2018-05-22,neutral,114
2018-05-22,positive,803
2018-05-23,negative,140
2018-05-23,neutral,127
2018-05-23,positive,753
2018-05-24,negative,129
2018-05-24,neutral,128
2018-05-24,positive,763
2018-05-25,negative,153
2018-05-25,neutral,133
2018-05-25,positive,734
2018-05-26,negative,135
2018-05-26,neutral,162
2018-05-26,positive,723
2018-05-27,negative,147
2018-05-27,neutral,117
2018-05-27,positive,756
2018-05-28,negative,136
2018-05-28,neutral,183
2018-05-28,positive,701
2018-05-29,negative,125
2018-05-29,neutral,109
2018-05-29,positive,786
2018-05-30,negative,112
2018-05-30,neutral,110
2018-05-30,positive,798
2018-05-31,negative,141
2018-05-31,neutral,139
2018-05-31,positive,740
2018-06-01,negative,168
2018-06-01,neutral,139
2018-06-01,positive,713
2018-06-02,negative,148
2018-06-02,neutral,123
2018-06-02,positive,736
2018-06-03,negative,155
2018-06-03,neutral,125
2018-06-03,positive,740
2018-06-04,negative,114
2018-06-04,neutral,191
2018-06-04,positive,715
2018-06-05,negative,148
2018-06-05,neutral,105
2018-06-05,positive,767
2018-06-06,negative,112
2018-06-06,neutral,125
2018-06-06,positive,783
2018-06-07,negative,137
2018-06-07,neutral,127
2018-06-07,positive,756
2018-06-08,negative,148
2018-06-08,neutral,122
2018-06-08,positive,750
2018-06-09,negative,156
2018-06-09,neutral,120
2018-06-09,positive,744
2018-06-10,negative,109
2018-06-10,neutral,107
2018-06-10,positive,804
2018-06-11,negative,116
2018-06-11,neutral,155
2018-06-11,positive,749
2018-06-12,negative,138
2018-06-12,neutral,131
2018-06-12,positive,751
2018-06-13,negative,139
2018-06-13,neutral,138
2018-06-13,positive,743
2018-06-14,negative,145
2018-06-14,neutral,138
2018-06-14,positive,737
2018-06-15,negative,131
2018-06-15,neutral,124
2018-06-15,positive,765
2018-06-16,negative,119
2018-06-16,neutral,112
2018-06-16,positive,789
2018-06-17,negative,141
2018-06-17,neutral,135
2018-06-17,positive,744
2018-06-18,negative,130
2018-06-18,neutral,175
2018-06-18,positive,715
2018-06-19,negative,133
2018-06-19,neutral,119
2018-06-19,positive,768
2018-06-20,negative,156
2018-06-20,neutral,165
2018-06-20,positive,699
2018-06-21,negative,143
2018-06-21,neutral,137
2018-06-21,positive,740
2018-06-22,negative,148
2018-06-22,neutral,134
2018-06-22,positive,738
2018-06-23,negative,145
2018-06-23,neutral,136
2018-06-23,positive,739
2018-06-24,negative,146
2018-06-24,neutral,118
2018-06-24,positive,756
2018-06-25,negative,145
2018-06-25,neutral,166
2018-06-25,positive,709
2018-06-26,negative,126
2018-06-26,neutral,114
2018-06-26,positive,780
2018-06-27,negative,152
2018-06-27,neutral,134
2018-06-27,positive,734
2018-06-28,negative,148
2018-06-28,neutral,134
2018-06-28,positive,738
2018-06-29,negative,139
2018-06-29,neutral,137
2018-06-29,positive,744
2018-06-30,negative,172
2018-06-30,neutral,122
2018-06-30,positive,726
2018-07-01,negative,140
2018-07-01,neutral,151
2018-07-01,positive,729
2018-07-02,negative,140
2018-07-02,neutral,180
