timestamp,sentiment,tally
2018-01-01,negative,153
2018-01-01,neutral,464
2018-01-01,positive,403
2018-01-02,negative,156
2018-01-02,neutral,504
2018-01-02,positive,358
2018-01-03,negative,145
2018-01-03,neutral,484
2018-01-03,positive,391
2018-01-04,negative,154
2018-01-04,neutral,464
2018-01-04,positive,402
2018-01-05,negative,141
2018-01-05,neutral,480
2018-01-05,positive,399
2018-01-06,negative,164
2018-01-06,neutral,483
2018-01-06,positive,373
2018-01-07,negative,147
2018-01-07,neutral,469
2018-01-07,positive,404
2018-01-08,negative,157
2018-01-08,neutral,498
2018-01-08,positive,365
2018-01-09,negative,120
2018-01-09,neutral,467
2018-01-09,positive,432
2018-01-10,negative,141
2018-01-10,neutral,506
2018-01-10,positive,373
2018-01-11,negative,130
2018-01-11,neutral,469
2018-01-11,positive,420
2018-01-12,negative,154
2018-01-12,neutral,500
2018-01-12,positive,366
2018-01-13,negative,5
2018-01-13,neutral,11
2018-01-13,positive,4
2018-01-14,negative,142
2018-01-14,neutral,494
2018-01-14,positive,384
2018-01-15,negative,148
2018-01-15,neutral,499
2018-01-15,positive,373
2018-01-16,negative,138
2018-01-16,neutral,499
2018-01-16,positive,383
2018-01-17,negative,156
2018-01-17,neutral,494
2018-01-17,positive,370
2018-01-18,negative,166
2018-01-18,neutral,489
2018-01-18,positive,365
2018-01-19,negative,161
2018-01-19,neutral,505
2018-01-19,positive,354
2018-01-20,negative,154
2018-01-20,neutral,487
2018-01-20,positive,379
2018-01-21,negative,153
2018-01-21,neutral,523
2018-01-21,positive,344
2018-01-22,negative,158
2018-01-22,neutral,471
2018-01-22,positive,391
2018-01-23,negative,154
2018-01-23,neutral,480
2018-01-23,positive,386
2018-01-24,negative,149
2018-01-24,neutral,493
2018-01-24,positive,378
2018-01-25,negative,161
2018-01-25,neutral,482
2018-01-25,positive,377
2018-01-26,negative,156
2018-01-26,neutral,493
2018-01-26,positive,371
2018-01-27,negative,174
2018-01-27,neutral,455
2018-01-27,positive,391
2018-01-28,negative,156
2018-01-28,neutral,505
2018-01-28,positive,359
2018-01-29,negative,148
2018-01-29,neutral,476
2018-01-29,positive,396
2018-01-30,negative,133
2018-01-30,neutral,520
2018-01-30,positive,367
