timestamp,sentiment,tally
2018-01-01,negative,73
2018-01-01,neutral,420
2018-01-01,positive,527
2018-01-02,negative,82
2018-01-02,neutral,444
2018-01-02,positive,492
2018-01-03,negative,95
2018-01-03,neutral,428
2018-01-03,positive,497
2018-01-04,negative,86
2018-01-04,neutral,439
2018-01-04,positive,495
2018-01-05,negative,91
2018-01-05,neutral,477
2018-01-05,positive,452
2018-01-06,negative,93
2018-01-06,neutral,452
2018-01-06,positive,475
2018-01-07,negative,81
2018-01-07,neutral,450
2018-01-07,positive,489
2018-01-08,negative,91
2018-01-08,neutral,444
2018-01-08,positive,485
2018-01-09,negative,91
2018-01-09,neutral,456
2018-01-09,positive,472
2018-01-10,negative,80
2018-01-10,neutral,422
2018-01-10,positive,518
2018-01-11,negative,86
2018-01-11,neutral,451
2018-01-11,positive,482
2018-01-12,negative,81
2018-01-12,neutral,416
2018-01-12,positive,523
2018-01-13,negative,6
2018-01-13,neutral,4
2018-01-13,positive,10
2018-01-14,negative,97
2018-01-14,neutral,430
2018-01-14,positive,493
2018-01-15,negative,98
2018-01-15,neutral,436
2018-01-15,positive,486
2018-01-16,negative,88
2018-01-16,neutral,445
2018-01-16,positive,487
2018-01-17,negative,72
2018-01-17,neutral,479
2018-01-17,positive,469
2018-01-18,negative,96
2018-01-18,neutral,474
2018-01-18,positive,450
2018-01-19,negative,88
2018-01-19,neutral,465
2018-01-19,positive,467
2018-01-20,negative,100
2018-01-20,neutral,423
2018-01-20,positive,497
2018-01-21,negative,70
2018-01-21,neutral,440
2018-01-21,positive,510
2018-01-22,negative,79
2018-01-22,neutral,437
2018-01-22,positive,504
2018-01-23,negative,81
2018-01-23,neutral,451
2018-01-23,positive,488
2018-01-24,negative,93
2018-01-24,neutral,442
2018-01-24,positive,485
2018-01-25,negative,93
2018-01-25,neutral,447
2018-01-25,positive,480
2018-01-26,negative,91
2018-01-26,neutral,454
2018-01-26,positive,475
2018-01-27,negative,82
2018-01-27,neutral,460
2018-01-27,positive,478
2018-01-28,negative,94
2018-01-28,neutral,428
2018-01-28,positive,498
2018-01-29,negative,87
2018-01-29,neutral,409
2018-01-29,positive,524
2018-01-30,negative,89
2018-01-30,neutral,467
2018-01-30,positive,464
2018-01-31,negative,82
2018-01-31,neutral,410
2018-01-31,positive,528
2018-02-01,negative,90
2018-02-01,neutral,464
2018-02-01,positive,465
2018-02-02,negative,89
2018-02-02,neutral,434
2018-02-02,positive,497
2018-02-03,negative,93
2018-02-03,neutral,462
2018-02-03,positive,465
2018-02-04,negative,87
2018-02-04,neutral,447
2018-02-04,positive,486
2018-02-05,negative,89
2018-02-05,neutral,439
2018-02-05,positive,492
2018-02-06,negative,85
2018-02-06,neutral,425
2018-02-06,positive,510
2018-02-07,negative,77
2018-02-07,neutral,454
2018-02-07,positive,489
2018-02-08,negative,84
2018-02-08,neutral,439
2018-02-08,positive,497
2018-02-09,negative,90
2018-02-09,neutral,469
2018-02-09,positive,461
2018-02-10,negative,89
2018-02-10,neutral,463
2018-02-10,positive,468
2018-02-11,negative,82
2018-02-11,neutral,432
2018-02-11,positive,506
2018-02-12,negative,95
2018-02-12,neutral,461
2018-02-12,positive,464
2018-02-13,negative,100
2018-02-13,neutral,441
2018-02-13,positive,479
2018-02-14,negative,20
2018-02-14,neutral,127
2018-02-14,positive,153
2018-02-15,negative,96
2018-02-15,neutral,446
2018-02-15,positive,478
2018-02-16,negative,94
2018-02-16,neutral,427
2018-02-16,positive,499
2018-02-17,negative,84
2018-02-17,neutral,434
2018-02-17,positive,502
2018-02-18,negative,83
2018-02-18,neutral,440
2018-02-18,positive,497
2018-02-19,negative,74
2018-02-19,neutral,442
2018-02-19,positive,504
2018-02-20,negative,72
2018-02-20,neutral,526
2018-02-20,positive,422
2018-02-21,negative,93
2018-02-21,neutral,437
2018-02-21,positive,490
2018-02-22,negative,93
2018-02-22,neutral,444
2018-02-22,positive,483
2018-02-23,negative,90
2018-02-23,neutral,442
2018-02-23,positive,488
2018-02-24,negative,74
2018-02-24,neutral,464
2018-02-24,positive,482
2018-02-25,negative,82
2018-02-25,neutral,457
2018-02-25,positive,481
2018-02-26,negative,80
2018-02-26,neutral,452
2018-02-26,positive,488
2018-02-27,negative,80
2018-02-27,neutral,480
2018-02-27,positive,460
2018-02-28,negative,84
2018-02-28,neutral,461
2018-02-28,positive,475
2018-03-01,negative,76
2018-03-01,neutral,458
2018-03-01,positive,486
2018-03-02,negative,75
2018-03-02,neutral,454
2018-03-02,positive,491
2018-03-03,negative,90
2018-03-03,neutral,486
2018-03-03,positive,444
2018-03-04,negative,100
2018-03-04,neutral,444
2018-03-04,positive,476
2018-03-05,negative,87
2018-03-05,neutral,485
2018-03-05,positive,448
2018-03-06,negative,79
2018-03-06,neutral,442
2018-03-06,positive,499
2018-03-07,negative,88
2018-03-07,neutral,448
2018-03-07,positive,484
2018-03-08,negative,87
2018-03-08,neutral,443
2018-03-08,positive,490
2018-03-09,negative,102
2018-03-09,neutral,443
2018-03-09,positive,475
2018-03-10,negative,81
2018-03-10,neutral,437
2018-03-10,positive,502
2018-03-11,negative,100
2018-03-11,neutral,436
2018-03-11,positive,484
2018-03-12,negative,94
2018-03-12,neutral,462
2018-03-12,positive,464
2018-03-13,negative,105
2018-03-13,neutral,445
2018-03-13,positive,470
2018-03-14,negative,91
2018-03-14,neutral,467
2018-03-14,positive,462
2018-03-15,negative,73
2018-03-15,neutral,460
2018-03-15,positive,487
2018-03-16,negative,96
2018-03-16,neutral,431
2018-03-16,positive,493
2018-03-17,negative,95
2018-03-17,neutral,435
2018-03-17,positive,490
2018-03-18,negative,89
2018-03-18,neutral,437
2018-03-18,positive,494
2018-03-19,negative,110
2018-03-19,neutral,436
2018-03-19,positive,474
2018-03-20,negative,80
2018-03-20,neutral,468
2018-03-20,positive,472
2018-03-21,negative,84
2018-03-21,neutral,457
2018-03-21,positive,479
2018-03-22,negative,76
2018-03-22,neutral,425
2018-03-22,positive,519
2018-03-23,negative,82
2018-03-23,neutral,446
2018-03-23,positive,492
2018-03-24,negative,81
2018-03-24,neutral,459
2018-03-24,positive,480
2018-03-25,negative,98
2018-03-25,neutral,435
2018-03-25,positive,487
2018-03-26,negative,101
2018-03-26,neutral,454
2018-03-26,positive,465
2018-03-27,negative,95
2018-03-27,neutral,414
2018-03-27,positive,511
2018-03-28,negative,83
2018-03-28,neutral,417
2018-03-28,positive,520
2018-03-29,negative,91
2018-03-29,neutral,463
2018-03-29,positive,466
2018-03-30,negative,87
2018-03-30,neutral,472
2018-03-30,positive,461
2018-03-31,negative,84
2018-03-31,neutral,452
