timestamp,sentiment,tally
2018-01-01,negative,115
2018-01-01,neutral,533
2018-01-01,positive,372
2018-01-02,negative,146
2018-01-02,neutral,521
2018-01-02,positive,351
2018-01-03,negative,134
2018-01-03,neutral,541
2018-01-03,positive,345
2018-01-04,negative,131
2018-01-04,neutral,526
2018-01-04,positive,363
2018-01-05,negative,130
2018-01-05,neutral,543
2018-01-05,positive,347
2018-01-06,negative,153
2018-01-06,neutral,525
2018-01-06,positive,342
2018-01-07,negative,139
2018-01-07,neutral,538
2018-01-07,positive,343
2018-01-08,negative,134
2018-01-08,neutral,546
2018-01-08,positive,340
2018-01-09,negative,123
2018-01-09,neutral,542
2018-01-09,positive,354
2018-01-10,negative,137
2018-01-10,neutral,536
2018-01-10,positive,347
2018-01-11,negative,119
2018-01-11,neutral,547
2018-01-11,positive,353
2018-01-12,negative,105
2018-01-12,neutral,552
2018-01-12,positive,363
2018-01-13,negative,4
2018-01-13,neutral,7
2018-01-13,positive,9
2018-01-14,negative,141
2018-01-14,neutral,525
2018-01-14,positive,354
2018-01-15,negative,112
2018-01-15,neutral,551
2018-01-15,positive,357
2018-01-16,negative,141
2018-01-16,neutral,549
2018-01-16,positive,330
2018-01-17,negative,153
2018-01-17,neutral,533
2018-01-17,positive,334
2018-01-18,negative,119
2018-01-18,neutral,556
2018-01-18,positive,345
2018-01-19,negative,119
2018-01-19,neutral,565
2018-01-19,positive,336
2018-01-20,negative,126
2018-01-20,neutral,557
2018-01-20,positive,337
2018-01-21,negative,122
2018-01-21,neutral,565
2018-01-21,positive,333
2018-01-22,negative,147
2018-01-22,neutral,534
2018-01-22,positive,339
2018-01-23,negative,129
2018-01-23,neutral,541
2018-01-23,positive,350
2018-01-24,negative,133
2018-01-24,neutral,529
2018-01-24,positive,358
2018-01-25,negative,134
2018-01-25,neutral,544
2018-01-25,positive,342
2018-01-26,negative,120
2018-01-26,neutral,555
2018-01-26,positive,345
2018-01-27,negative,111
2018-01-27,neutral,533
2018-01-27,positive,376
2018-01-28,negative,114
2018-01-28,neutral,573
2018-01-28,positive,333
2018-01-29,negative,129
2018-01-29,neutral,551
2018-01-29,positive,340
2018-01-30,negative,119
2018-01-30,neutral,549
2018-01-30,positive,352
2018-01-31,negative,124
2018-01-31,neutral,509
2018-01-31,positive,387
2018-02-01,negative,140
2018-02-01,neutral,546
2018-02-01,positive,333
2018-02-02,negative,149
2018-02-02,neutral,516
2018-02-02,positive,355
2018-02-03,negative,129
2018-02-03,neutral,547
2018-02-03,positive,344
2018-02-04,negative,99
2018-02-04,neutral,557
2018-02-04,positive,364
2018-02-05,negative,133
2018-02-05,neutral,608
2018-02-05,positive,279
2018-02-06,negative,120
2018-02-06,neutral,537
2018-02-06,positive,363
2018-02-07,negative,125
2018-02-07,neutral,554
2018-02-07,positive,341
2018-02-08,negative,123
2018-02-08,neutral,569
2018-02-08,positive,328
2018-02-09,negative,138
2018-02-09,neutral,530
2018-02-09,positive,352
2018-02-10,negative,131
2018-02-10,neutral,526
2018-02-10,positive,363
2018-02-11,negative,131
2018-02-11,neutral,533
2018-02-11,positive,356
2018-02-12,negative,127
2018-02-12,neutral,558
2018-02-12,positive,335
2018-02-13,negative,123
2018-02-13,neutral,519
2018-02-13,positive,378
2018-02-14,negative,32
2018-02-14,neutral,162
2018-02-14,positive,106
2018-02-15,negative,126
2018-02-15,neutral,518
2018-02-15,positive,376
2018-02-16,negative,136
2018-02-16,neutral,553
2018-02-16,positive,331
2018-02-17,negative,115
2018-02-17,neutral,523
2018-02-17,positive,382
2018-02-18,negative,144
2018-02-18,neutral,542
2018-02-18,positive,334
2018-02-19,negative,127
2018-02-19,neutral,530
2018-02-19,positive,363
2018-02-20,negative,126
2018-02-20,neutral,545
2018-02-20,positive,349
2018-02-21,negative,162
2018-02-21,neutral,534
2018-02-21,positive,324
2018-02-22,negative,138
2018-02-22,neutral,565
2018-02-22,positive,317
2018-02-23,negative,134
2018-02-23,neutral,546
2018-02-23,positive,340
2018-02-24,negative,132
2018-02-24,neutral,584
2018-02-24,positive,304
2018-02-25,negative,120
2018-02-25,neutral,561
2018-02-25,positive,339
2018-02-26,negative,140
2018-02-26,neutral,540
2018-02-26,positive,340
2018-02-27,negative,131
2018-02-27,neutral,520
2018-02-27,positive,369
2018-02-28,negative,131
2018-02-28,neutral,541
2018-02-28,positive,348
2018-03-01,negative,122
2018-03-01,neutral,554
2018-03-01,positive,344
2018-03-02,negative,119
2018-03-02,neutral,552
2018-03-02,positive,349
2018-03-03,negative,133
2018-03-03,neutral,553
2018-03-03,positive,334
2018-03-04,negative,139
2018-03-04,neutral,531
2018-03-04,positive,350
2018-03-05,negative,133
2018-03-05,neutral,536
2018-03-05,positive,351
2018-03-06,negative,116
2018-03-06,neutral,540
2018-03-06,positive,364
2018-03-07,negative,126
2018-03-07,neutral,555
2018-03-07,positive,339
2018-03-08,negative,131
2018-03-08,neutral,532
2018-03-08,positive,357
2018-03-09,negative,132
2018-03-09,neutral,525
