date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,158.53,159.36,156.48,157.74,35003500.0,154.89,159.36,154.89,2.880000000000024,4.470000000000027,-3.640000000000015
2018-12-28,157.5,158.52,154.55,156.23,42291400.0,158.53,158.53,154.55,3.969999999999999,3.9799999999999898,1.0300000000000011
2018-12-27,155.84,156.77,150.07,156.15,53117100.0,157.5,157.5,150.07,6.700000000000017,7.430000000000007,1.6599999999999966
2018-12-26,148.3,157.23,146.72,157.17,58582500.0,155.84,157.23,146.72,10.509999999999991,10.509999999999991,7.539999999999992
2018-12-24,148.15,151.55,146.59,146.83,37169200.0,148.3,151.55,146.59,4.960000000000008,4.960000000000008,0.15000000000000568
2018-12-21,156.8595,158.16,149.63,150.73,95744600.0,148.15,158.16,148.15,8.530000000000001,10.009999999999991,-8.709499999999991
2018-12-20,160.4,162.11,155.3,156.83,64773000.0,156.8595,162.11,155.3,6.810000000000002,6.810000000000002,-3.5405000000000086
2018-12-19,166.0,167.45,159.09,160.89,49047300.0,160.4,167.45,159.09,8.359999999999985,8.359999999999985,-5.599999999999994
2018-12-18,165.38,167.53,164.3979,166.07,33841500.0,166.0,167.53,164.3979,3.1321000000000083,3.1321000000000083,0.6200000000000045
2018-12-17,165.45,168.35,162.73,163.94,44287900.0,165.38,168.35,162.73,5.6200000000000045,5.6200000000000045,-0.06999999999999318
2018-12-14,169.0,169.08,165.28,165.48,40703700.0,165.45,169.08,165.28,3.8000000000000114,3.8000000000000114,-3.5500000000000114
2018-12-13,170.49,172.571,169.55,170.95,31898600.0,169.0,172.571,169.0,3.0209999999999866,3.570999999999998,-1.490000000000009
2018-12-12,170.4,171.92,169.0117,169.1,35627700.0,170.49,171.92,169.0117,2.908299999999997,2.908299999999997,0.09000000000000341
2018-12-11,171.66,171.79,167.0,168.63,47281700.0,170.4,171.79,167.0,4.789999999999992,4.789999999999992,-1.259999999999991
2018-12-10,165.0,170.09,163.33,169.6,62026000.0,171.66,171.66,163.33,6.759999999999991,8.329999999999984,6.659999999999997
2018-12-07,173.49,174.49,168.3,168.49,42281600.0,165.0,174.49,165.0,6.189999999999998,9.490000000000009,-8.490000000000009
2018-12-06,171.76,174.78,170.42,174.72,43098400.0,173.49,174.78,170.42,4.360000000000014,4.360000000000014,1.7300000000000182
2018-12-04,180.95,182.39,176.27,176.69,41344300.0,171.76,182.39,171.76,6.119999999999976,10.629999999999995,-9.189999999999998
2018-12-03,184.46,184.94,181.21,184.82,40802500.0,180.95,184.94,180.95,3.7299999999999898,3.990000000000009,-3.5100000000000193
2018-11-30,180.29,180.33,177.03,178.58,39531500.0,184.46,184.46,177.03,3.3000000000000114,7.430000000000007,4.170000000000016
2018-11-29,182.66,182.8,177.7,179.55,41770000.0,180.29,182.8,177.7,5.100000000000023,5.100000000000023,-2.3700000000000045
2018-11-28,176.73,181.29,174.93,180.94,46062500.0,182.66,182.66,174.93,6.359999999999985,7.72999999999999,5.930000000000007
2018-11-27,171.51,174.77,170.88,174.24,41387400.0,176.73,176.73,170.88,3.890000000000015,5.849999999999994,5.219999999999999
2018-11-26,174.24,174.95,170.26,174.62,44998500.0,171.51,174.95,170.26,4.689999999999998,4.689999999999998,-2.730000000000018
2018-11-23,174.9432,176.595,172.1,172.29,23624000.0,174.24,176.595,172.1,4.4950000000000045,4.4950000000000045,-0.7031999999999812
2018-11-21,179.73,180.27,176.55,176.78,31124200.0,174.9432,180.27,174.9432,3.719999999999999,5.32680000000002,-4.7867999999999995
2018-11-20,178.37,181.47,175.51,176.98,67825200.0,179.73,181.47,175.51,5.960000000000008,5.960000000000008,1.3599999999999852
2018-11-19,190.0,190.7,184.99,185.86,41925300.0,178.37,190.7,178.37,5.7099999999999795,12.329999999999984,-11.629999999999995
2018-11-16,190.5,194.97,189.46,193.53,36928300.0,190.0,194.97,189.46,5.509999999999991,5.509999999999991,-0.5
2018-11-15,188.39,191.97,186.9,191.41,46478800.0,190.5,191.97,186.9,5.069999999999993,5.069999999999993,2.1100000000000136
2018-11-14,193.9,194.48,185.93,186.8,60801000.0,188.39,194.48,185.93,8.549999999999983,8.549999999999983,-5.510000000000019
2018-11-13,191.63,197.18,191.45,192.23,46882900.0,193.9,197.18,191.45,5.730000000000018,5.730000000000018,2.2700000000000102
2018-11-12,199.0,199.85,193.79,194.17,51135500.0,191.63,199.85,191.63,6.060000000000002,8.219999999999999,-7.3700000000000045
2018-11-09,205.55,206.01,202.25,204.47,34365800.0,199.0,206.01,199.0,3.759999999999991,7.009999999999991,-6.550000000000011
2018-11-08,209.98,210.12,206.75,208.49,25362600.0,205.55,210.12,205.55,3.3700000000000045,4.569999999999993,-4.429999999999978
2018-11-07,205.97,210.06,204.13,209.95,33424400.0,209.98,210.06,204.13,5.930000000000007,5.930000000000007,4.009999999999991
2018-11-06,201.92,204.72,201.69,203.77,31882900.0,205.97,205.97,201.69,3.030000000000001,4.280000000000001,4.050000000000011
2018-11-05,204.3,204.39,198.17,201.59,66163700.0,201.92,204.39,198.17,6.219999999999999,6.219999999999999,-2.380000000000024
2018-11-02,209.55,213.65,205.43,207.48,91328700.0,204.3,213.65,204.3,8.219999999999999,9.349999999999994,-5.25
2018-11-01,219.05,222.36,216.81,222.22,58323200.0,209.55,222.36,209.55,5.550000000000011,12.810000000000002,-9.5
2018-10-31,216.88,220.45,216.62,218.86,38358900.0,219.05,220.45,216.62,3.829999999999984,3.829999999999984,2.170000000000016
2018-10-30,211.15,215.18,209.27,213.3,36660000.0,216.88,216.88,209.27,5.909999999999997,7.609999999999985,5.72999999999999
