date,open,high,low,close,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,1.0153,1.0191,1.0124,1.0181,1.0119,1.0191,1.0119,0.006699999999999928,0.007199999999999873,-0.0034000000000000696
2018-12-30,1.0154,1.0162,1.0143,1.0153,1.0153,1.0162,1.0143,0.0019000000000000128,0.0019000000000000128,-9.999999999998899e-05
2018-12-28,1.0112,1.0211,1.0112,1.0172,1.0154,1.0211,1.0112,0.009899999999999798,0.009899999999999798,0.0041999999999999815
2018-12-27,1.0041,1.0159,1.0038,1.0117,1.0112,1.0159,1.0038,0.0121,0.0121,0.007100000000000106
2018-12-26,1.0134,1.0148,1.0033,1.004,1.0041,1.0148,1.0033,0.011499999999999844,0.011499999999999844,-0.009300000000000086
2018-12-25,1.0117,1.0158,1.0002,1.0119,1.0134,1.0158,1.0002,0.015600000000000058,0.015600000000000058,0.0017000000000000348
2018-12-24,1.0051,1.0136,1.0043,1.012,1.0117,1.0136,1.0043,0.009300000000000086,0.009300000000000086,0.006599999999999939
2018-12-23,1.0052,1.0062,1.0036,1.0052,1.0051,1.0062,1.0036,0.0025999999999999357,0.0025999999999999357,-9.999999999998899e-05
2018-12-21,1.0119,1.0138,1.0037,1.0058,1.0052,1.0138,1.0037,0.010099999999999998,0.010099999999999998,-0.006699999999999928
2018-12-20,1.0052,1.016,1.0041,1.0123,1.0119,1.016,1.0041,0.011900000000000022,0.011900000000000022,0.006699999999999928
2018-12-19,1.0072,1.0092,1.0035,1.0052,1.0052,1.0092,1.0035,0.005700000000000038,0.005700000000000038,-0.0020000000000000018
2018-12-18,1.0064,1.0099,1.0059,1.0074,1.0072,1.0099,1.0059,0.0040000000000000036,0.0040000000000000036,0.0008000000000001339
2018-12-17,1.0017,1.0081,1.001,1.0064,1.0064,1.0081,1.001,0.007100000000000106,0.007100000000000106,0.0046999999999999265
2018-12-16,1.0017,1.0023,1.001,1.0019,1.0017,1.0023,1.001,0.0013000000000000789,0.0013000000000000789,0.0
2018-12-14,1.0057,1.0064,1.0006,1.0018,1.0017,1.0064,1.0006,0.005800000000000027,0.005800000000000027,-0.0040000000000000036
2018-12-13,1.0063,1.0086,1.0041,1.0056,1.0057,1.0086,1.0041,0.0044999999999999485,0.0044999999999999485,-0.0005999999999999339
2018-12-12,1.0061,1.0085,1.003,1.0063,1.0063,1.0085,1.003,0.00550000000000006,0.00550000000000006,0.00019999999999997797
