date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,23153.9395,23333.1797,23118.3008,23327.4609,288830000.0,23058.6094,23333.1797,23058.6094,214.8788999999997,274.5702999999994,-95.33009999999922
2018-12-28,23213.6094,23381.8809,22981.3301,23062.4004,336510000.0,23153.9395,23381.8809,22981.3301,400.5508000000009,400.5508000000009,-59.66990000000078
2018-12-27,22629.0605,23138.8906,22267.4199,23138.8203,407940000.0,23213.6094,23213.6094,22267.4199,871.470699999998,946.1895000000004,584.5489000000016
2018-12-26,21857.7305,22878.9199,21712.5293,22878.4492,433080000.0,22629.0605,22878.9199,21712.5293,1166.3906000000025,1166.3906000000025,771.3299999999981
2018-12-24,22317.2793,22339.8691,21792.1992,21792.1992,308420000.0,21857.7305,22339.8691,21792.1992,547.6699000000008,547.6699000000008,-459.54879999999685
2018-12-21,22871.7402,23254.5898,22396.3398,22445.3691,900510000.0,22317.2793,23254.5898,22317.2793,858.25,937.3105000000032,-554.4609000000019
2018-12-20,23224.1191,23282.1992,22644.3105,22859.5996,576700000.0,22871.7402,23282.1992,22644.3105,637.8886999999995,637.8886999999995,-352.3788999999997
2018-12-19,23693.3301,24057.3398,23162.6406,23323.6602,503550000.0,23224.1191,24057.3398,23162.6406,894.6992000000027,894.6992000000027,-469.21099999999933
2018-12-18,23769.1309,23927.7695,23516.0195,23675.6406,408070000.0,23693.3301,23927.7695,23516.0195,411.75,411.75,-75.80080000000089
2018-12-17,23986.8301,24088.0801,23456.8809,23592.9805,466740000.0,23769.1309,24088.0801,23456.8809,631.1991999999991,631.1991999999991,-217.6991999999991
2018-12-14,24408.0391,24431.1406,24033.7891,24100.5098,416940000.0,23986.8301,24431.1406,23986.8301,397.35149999999703,444.3104999999996,-421.20900000000256
2018-12-13,24575.8594,24740.9609,24473.2891,24597.3809,299970000.0,24408.0391,24740.9609,24408.0391,267.67179999999644,332.92179999999644,-167.8202999999994
2018-12-12,24509.0898,24828.2891,24509.0898,24527.2695,344330000.0,24575.8594,24828.2891,24509.0898,319.1993000000002,319.1993000000002,66.76959999999963
2018-12-11,24719.9102,24791.2598,24221.0605,24370.2402,342960000.0,24509.0898,24791.2598,24221.0605,570.1993000000002,570.1993000000002,-210.82039999999688
2018-12-10,24360.9492,24500.8105,23881.3691,24423.2598,389690000.0,24719.9102,24719.9102,23881.3691,619.4413999999997,838.5410999999986,358.96099999999933
2018-12-07,24918.8203,25095.6191,24284.7793,24388.9492,398230000.0,24360.9492,25095.6191,24284.7793,810.8398000000016,810.8398000000016,-557.8711000000003
2018-12-06,24737.4199,24951.0098,24242.2207,24947.6699,471690000.0,24918.8203,24951.0098,24242.2207,708.7890999999981,708.7890999999981,181.40039999999863
2018-12-04,25752.5605,25773.1191,25008.1094,25027.0703,418900000.0,24737.4199,25773.1191,24737.4199,765.0096999999987,1035.699199999999,-1015.1405999999988
2018-12-03,25779.5703,25980.2109,25670.5098,25826.4297,388480000.0,25752.5605,25980.2109,25670.5098,309.7010999999984,309.7010999999984,-27.009799999999814
2018-11-30,25307.1406,25549.7109,25250.9707,25538.4609,482250000.0,25779.5703,25779.5703,25250.9707,298.74019999999655,528.5995999999977,472.4297000000006
2018-11-29,25343.6504,25479.0391,25202.7891,25338.8398,305110000.0,25307.1406,25479.0391,25202.7891,276.25,276.25,-36.509799999999814
2018-11-28,24832.8398,25368.9297,24832.8398,25366.4297,362160000.0,25343.6504,25368.9297,24832.8398,536.089899999999,536.089899999999,510.81059999999707
2018-11-27,24557.0195,24750.7305,24416.0293,24748.7305,308250000.0,24832.8398,24832.8398,24416.0293,334.70120000000315,416.81050000000323,275.82030000000304
2018-11-26,24364.1309,24673.2891,24364.1309,24640.2402,306280000.0,24557.0195,24673.2891,24364.1309,309.15820000000167,309.15820000000167,192.8885999999984
2018-11-23,24336.4004,24408.8008,24268.7402,24285.9492,155940000.0,24364.1309,24408.8008,24268.7402,140.0606000000007,140.0606000000007,27.730500000001484
2018-11-21,24541.6504,24669.7891,24463.2793,24464.6895,289370000.0,24336.4004,24669.7891,24336.4004,206.50980000000345,333.38870000000315,-205.25
2018-11-20,24618.6797,24707.2598,24368.9805,24465.6406,445920000.0,24541.6504,24707.2598,24368.9805,338.27929999999833,338.27929999999833,-77.02930000000197
2018-11-19,25392.6094,25392.6094,24900.9805,25017.4395,358090000.0,24618.6797,25392.6094,24618.6797,491.6288999999997,773.9297000000006,-773.9297000000006
2018-11-16,25242.3496,25510.2305,25147.8008,25413.2207,354460000.0,25392.6094,25510.2305,25147.8008,362.4297000000006,362.4297000000006,150.2597999999998
2018-11-15,25061.4805,25354.5605,24787.7891,25289.2695,392750000.0,25242.3496,25354.5605,24787.7891,566.7713999999978,566.7713999999978,180.8690999999999
2018-11-14,25388.0801,25501.2891,24935.8203,25080.5,384240000.0,25061.4805,25501.2891,24935.8203,565.4688000000024,565.4688000000024,-326.59959999999774
2018-11-13,25321.2109,25511.0293,25193.7793,25286.4902,339690000.0,25388.0801,25511.0293,25193.7793,317.25,317.25,66.869200000001
2018-11-12,25959.3301,25966.7109,25340.5098,25387.1797,346910000.0,25321.2109,25966.7109,25321.2109,626.2010999999984,645.5,-638.119200000001
2018-11-09,26149.1094,26161.4902,25882.9102,25989.3008,324450000.0,25959.3301,26161.4902,25882.9102,278.58000000000175,278.58000000000175,-189.77930000000197
2018-11-08,26139.5898,26277.8203,26081.9004,26191.2207,295650000.0,26149.1094,26277.8203,26081.9004,195.91990000000078,195.91990000000078,9.519599999999627
2018-11-07,25788.4609,26200.1406,25765.8809,26180.3008,361780000.0,26139.5898,26200.1406,25765.8809,434.2596999999987,434.2596999999987,351.12890000000334
2018-11-06,25452.8301,25651.8594,25444.9004,25635.0098,265450000.0,25788.4609,25788.4609,25444.9004,206.95900000000256,343.5604999999996,335.630799999999
2018-11-05,25261.4707,25507.3496,25261.4707,25461.6992,334740000.0,25452.8301,25507.3496,25261.4707,245.8788999999997,245.8788999999997,191.35939999999755
2018-11-02,25443.5996,25578.9805,25078.7207,25270.8301,429480000.0,25261.4707,25578.9805,25078.7207,500.2597999999998,500.2597999999998,-182.1288999999997
2018-11-01,25142.0801,25396.4707,25108.1094,25380.7402,383970000.0,25443.5996,25443.5996,25108.1094,288.3613000000005,335.4902000000002,301.51950000000215
2018-10-31,25008.8203,25336.5508,25008.8203,25115.7598,448930000.0,25142.0801,25336.5508,25008.8203,327.7305000000015,327.7305000000015,133.2597999999998
2018-10-30,24482.0391,24906.6797,24415.6895,24874.6406,470050000.0,25008.8203,25008.8203,24415.6895,490.9902000000002,593.130799999999,526.7811999999976
2018-10-29,24818.9805,25040.5801,24122.2305,24442.9199,443850000.0,24482.0391,25040.5801,24122.2305,918.3495999999977,918.3495999999977,-336.9413999999997
2018-10-26,24770.25,24916.1602,24445.1895,24688.3105,505310000.0,24818.9805,24916.1602,24445.1895,470.97069999999803,470.97069999999803,48.730500000001484
2018-10-25,24736.5391,25104.2891,24645.5605,24984.5508,439670000.0,24770.25,25104.2891,24645.5605,458.7286000000022,458.7286000000022,33.71089999999822
2018-10-24,25172.8809,25306.2305,24533.1895,24583.4199,496400000.0,24736.5391,25306.2305,24533.1895,773.0410000000011,773.0410000000011,-436.34179999999833
2018-10-23,25038.4609,25307.6992,24768.7891,25191.4297,436430000.0,25172.8809,25307.6992,24768.7891,538.9100999999973,538.9100999999973,134.4200000000019
2018-10-22,25492.1406,25561.3398,25236.0508,25317.4102,314940000.0,25038.4609,25561.3398,25038.4609,325.28900000000067,522.8789000000033,-453.6797000000006
2018-10-19,25421.0898,25608.7109,25350.0195,25444.3398,350810000.0,25492.1406,25608.7109,25350.0195,258.6913999999997,258.6913999999997,71.05079999999725
2018-10-18,25645.5605,25691.4609,25236.0098,25379.4492,328020000.0,25421.0898,25691.4609,25236.0098,455.4510999999984,455.4510999999984,-224.47069999999803
2018-10-17,25705.8691,25810.0898,25479.1602,25706.6797,298210000.0,25645.5605,25810.0898,25479.1602,330.9296000000031,330.9296000000031,-60.3086000000003
2018-10-16,25351.5293,25817.6797,25351.5293,25798.4199,305800000.0,25705.8691,25817.6797,25351.5293,466.15040000000226,466.15040000000226,354.33980000000156
2018-10-15,25332.4609,25482.4199,25243.8809,25250.5508,287320000.0,25351.5293,25482.4199,25243.8809,238.53900000000067,238.53900000000067,19.06840000000011
2018-10-12,25407.6309,25467.5508,25000.8301,25339.9902,397510000.0,25332.4609,25467.5508,25000.8301,466.72070000000167,466.72070000000167,-75.17000000000189
2018-10-11,25518.3906,25683.6406,24899.7695,25052.8301,522880000.0,25407.6309,25683.6406,24899.7695,783.8711000000003,783.8711000000003,-110.7596999999987
2018-10-10,26441.7305,26487.8691,25567.0996,25598.7402,438200000.0,25518.3906,26487.8691,25518.3906,920.7694999999985,969.4785000000011,-923.3399000000027
2018-10-09,26469.1895,26539.9395,26324.1602,26430.5703,282560000.0,26441.7305,26539.9395,26324.1602,215.77930000000197,215.77930000000197,-27.458999999998923
2018-10-08,26399.4492,26529.3496,26223.0898,26486.7793,273020000.0,26469.1895,26529.3496,26223.0898,306.2597999999998,306.2597999999998,69.7403000000013
2018-10-05,26632.7695,26676.1602,26301.8105,26447.0508,267100000.0,26399.4492,26676.1602,26301.8105,374.34969999999885,374.34969999999885,-233.3202999999994
2018-10-04,26784.0801,26793.8203,26471.6094,26627.4805,289600000.0,26632.7695,26793.8203,26471.6094,322.2108999999982,322.2108999999982,-151.3106000000007
2018-10-03,26833.4707,26951.8105,26789.0801,26828.3906,280130000.0,26784.0801,26951.8105,26784.0801,162.73040000000037,167.73040000000037,-49.39060000000245
2018-10-02,26648.9102,26824.7793,26627.6602,26773.9395,258290000.0,26833.4707,26833.4707,26627.6602,197.1190999999999,205.81050000000323,184.56050000000323
2018-10-01,26598.3594,26737.9805,26596.0508,26651.2109,238320000.0,26648.9102,26737.9805,26596.0508,141.9297000000006,141.9297000000006,50.55079999999725
2018-09-28,26407.6602,26515.7598,26383.5703,26458.3105,264030000.0,26598.3594,26598.3594,26383.5703,132.1895000000004,214.78910000000178,190.69920000000275
2018-09-27,26418.2695,26557.0098,26379.9492,26439.9297,226350000.0,26407.6602,26557.0098,26379.9492,177.0606000000007,177.0606000000007,-10.609300000000076
2018-09-26,26536.8594,26606.0898,26349.3398,26385.2793,262620000.0,26418.2695,26606.0898,26349.3398,256.75,256.75,-118.58990000000267
2018-09-25,26601.5801,26634.8496,26475.5801,26492.2109,234110000.0,26536.8594,26634.8496,26475.5801,159.26950000000215,159.26950000000215,-64.72069999999803
2018-09-24,26705.25,26709.9395,26548.6797,26562.0508,254850000.0,26601.5801,26709.9395,26548.6797,161.2597999999998,161.2597999999998,-103.66990000000078
2018-09-21,26726.25,26769.1602,26680.3691,26743.5,657620000.0,26705.25,26769.1602,26680.3691,88.79109999999855,88.79109999999855,-21.0
2018-09-20,26519.3906,26697.4902,26519.3906,26656.9805,260480000.0,26726.25,26726.25,26519.3906,178.09960000000137,206.8594000000012,206.8594000000012
2018-09-19,26287.8398,26464.4102,26280.7598,26405.7598,251330000.0,26519.3906,26519.3906,26280.7598,183.65039999999863,238.630799999999,231.55079999999725
2018-09-18,26076.2109,26317.3398,26076.2109,26246.9609,243000000.0,26287.8398,26317.3398,26076.2109,241.12890000000334,241.12890000000334,211.62890000000334
2018-09-17,26151.6602,26184.4707,26030.3496,26062.1191,230230000.0,26076.2109,26184.4707,26030.3496,154.1211000000003,154.1211000000003,-75.44930000000022
2018-09-14,26169.5605,26211.1094,26068.2891,26154.6699,228640000.0,26151.6602,26211.1094,26068.2891,142.8202999999994,142.8202999999994,-17.900300000001153
2018-09-13,26083.9395,26191.6406,26067.0801,26145.9902,260800000.0,26169.5605,26191.6406,26067.0801,124.56049999999959,124.56049999999959,85.62099999999919
2018-09-12,25989.0703,26145.7207,25929.4297,25998.9199,282770000.0,26083.9395,26145.7207,25929.4297,216.29100000000108,216.29100000000108,94.869200000001
2018-09-11,25841.1406,26019.9199,25754.3203,25971.0605,265960000.0,25989.0703,26019.9199,25754.3203,265.5996000000014,265.5996000000014,147.9297000000006
2018-09-10,25991.9102,26039.9609,25854.1309,25857.0703,252170000.0,25841.1406,26039.9609,25841.1406,185.8299999999981,198.8202999999994,-150.76959999999963
2018-09-07,25951.0195,26002.9902,25818.3906,25916.5391,281350000.0,25991.9102,26002.9902,25818.3906,184.59960000000137,184.59960000000137,40.890699999999924
2018-09-06,25973.0195,26073.6797,25880.8398,25995.8691,262380000.0,25951.0195,26073.6797,25880.8398,192.83989999999903,192.83989999999903,-22.0
2018-09-05,25919.8398,26011.2207,25871.0391,25974.9902,289210000.0,25973.0195,26011.2207,25871.0391,140.1815999999999,140.1815999999999,53.179699999996956
2018-09-04,25916.0703,25971.7695,25805.9492,25952.4805,254600000.0,25919.8398,25971.7695,25805.9492,165.8202999999994,165.8202999999994,3.7695000000021537
2018-08-31,25964.8496,26028.8301,25879.7695,25964.8203,273440000.0,25916.0703,26028.8301,25879.7695,149.0606000000007,149.0606000000007,-48.77930000000197
2018-08-30,26099.0098,26104.3691,25934.8008,25986.9199,240440000.0,25964.8496,26104.3691,25934.8008,169.568299999999,169.568299999999,-134.16019999999844
2018-08-29,26082.5293,26167.9395,26035.3008,26124.5703,214960000.0,26099.0098,26167.9395,26035.3008,132.63869999999952,132.63869999999952,16.480500000001484
2018-08-28,26092.6992,26122.2402,26037.8496,26064.0195,211470000.0,26082.5293,26122.2402,26037.8496,84.39059999999881,84.39059999999881,-10.16990000000078
2018-08-27,25882.7109,26067.5703,25882.7109,26049.6406,220510000.0,26092.6992,26092.6992,25882.7109,184.8594000000012,209.9883000000009,209.9883000000009
2018-08-24,25688.5801,25826.0508,25688.5801,25790.3496,200330000.0,25882.7109,25882.7109,25688.5801,137.47070000000167,194.130799999999,194.130799999999
2018-08-23,25714.8594,25762.5605,25608.0195,25656.9805,213270000.0,25688.5801,25762.5605,25608.0195,154.54100000000108,154.54100000000108,-26.279300000001967
2018-08-22,25825.0605,25836.1602,25722.4297,25733.5996,200480000.0,25714.8594,25836.1602,25714.8594,113.73049999999785,121.30079999999725,-110.2010999999984
