date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,137.81,138.66,128.7,131.45,484604.83962,131.45,138.66,128.7,9.960000000000008,9.960000000000008,-6.360000000000014
2018-12-30,133.0,139.0,127.03,137.77,704259.41614,137.81,139.0,127.03,11.969999999999999,11.969999999999999,4.810000000000002
2018-12-29,135.3,145.42,128.5,132.89,1006654.49844,133.0,145.42,128.5,16.919999999999987,16.919999999999987,-2.3000000000000114
2018-12-28,113.75,136.66,111.87,135.3,894454.19051,135.3,136.66,111.87,24.789999999999992,24.789999999999992,21.55000000000001
2018-12-27,129.35,131.09,111.22,113.8,752177.90111,113.75,131.09,111.22,19.870000000000005,19.870000000000005,-15.599999999999994
2018-12-26,127.61,135.32,122.51,129.35,794834.05601,129.35,135.32,122.51,12.809999999999988,12.809999999999988,1.7399999999999949
2018-12-25,138.01,139.26,119.68,127.6,1076164.12809,127.61,139.26,119.68,19.579999999999984,19.579999999999984,-10.399999999999991
2018-12-24,129.03,157.67,128.8,138.03,1319609.8165,138.01,157.67,128.8,28.869999999999976,28.869999999999976,8.97999999999999
2018-12-23,115.18,131.94,114.91,129.03,936094.1049,129.03,131.94,114.91,17.03,17.03,13.849999999999994
2018-12-22,107.67,115.5,105.38,115.2,405672.83117,115.18,115.5,105.38,10.120000000000005,10.120000000000005,7.510000000000005
2018-12-21,113.71,118.0,104.76,107.69,666048.71786,107.67,118.0,104.76,13.239999999999995,13.239999999999995,-6.039999999999992
2018-12-20,98.73,116.0,97.88,114.05,859612.57205,113.71,116.0,97.88,18.120000000000005,18.120000000000005,14.97999999999999
2018-12-19,100.39,107.55,97.75,98.74,827748.59096,98.73,107.55,97.75,9.799999999999997,9.799999999999997,-1.6599999999999966
2018-12-18,94.03,101.3,91.34,100.39,529946.79175,100.39,101.3,91.34,9.959999999999994,9.959999999999994,6.359999999999999
2018-12-17,84.68,97.0,84.4,94.02,472252.23388,94.03,97.0,84.4,12.599999999999994,12.599999999999994,9.349999999999994
2018-12-16,83.75,87.64,83.73,84.67,241366.76305,84.68,87.64,83.73,3.9099999999999966,3.9099999999999966,0.9300000000000068
2018-12-15,83.82,85.0,81.79,83.76,217360.65775,83.75,85.0,81.79,3.2099999999999937,3.2099999999999937,-0.06999999999999318
2018-12-14,86.35,87.25,82.2,83.82,318003.73427,83.82,87.25,82.2,5.049999999999997,5.049999999999997,-2.530000000000001
2018-12-13,89.39,90.71,84.71,86.34,331218.30083,86.35,90.71,84.71,6.0,6.0,-3.0400000000000063
2018-12-12,87.77,91.31,86.63,89.41,285436.04029,89.39,91.31,86.63,4.680000000000007,4.680000000000007,1.6200000000000045
2018-12-11,89.88,91.65,85.83,87.76,339991.84246,87.77,91.65,85.83,5.820000000000007,5.820000000000007,-2.1099999999999994
2018-12-10,93.26,95.21,88.11,89.91,408573.02929,89.88,95.21,88.11,7.099999999999994,7.099999999999994,-3.3800000000000097
2018-12-09,90.39,98.7,88.63,93.26,520519.36023,93.26,98.7,88.63,10.070000000000007,10.070000000000007,2.8700000000000045
2018-12-08,93.06,98.0,84.55,90.38,698217.12529,90.39,98.0,84.55,13.450000000000003,13.450000000000003,-2.6700000000000017
2018-12-07,91.18,96.9,82.07,93.05,1030073.58467,93.06,96.9,82.07,14.830000000000013,14.830000000000013,1.8799999999999955
2018-12-06,102.73,104.68,90.2,91.0,586138.59043,91.18,104.68,90.2,14.480000000000004,14.480000000000004,-11.549999999999997
2018-12-05,109.92,110.58,102.38,102.71,354071.53241,102.73,110.58,102.38,8.200000000000003,8.200000000000003,-7.189999999999998
2018-12-04,108.76,113.2,106.0,109.94,275321.0063,109.92,113.2,106.0,7.200000000000003,7.200000000000003,1.1599999999999966
2018-12-03,116.63,116.96,106.7,108.76,324446.03324,108.76,116.96,106.7,10.259999999999991,10.259999999999991,-7.86999999999999
2018-12-02,118.09,120.73,116.0,116.57,273657.6215,116.63,120.73,116.0,4.730000000000004,4.730000000000004,-1.460000000000008
2018-12-01,113.71,120.8,111.35,118.1,330159.06742,118.09,120.8,111.35,9.450000000000003,9.450000000000003,4.38000000000001
2018-11-30,117.99,120.26,111.09,113.73,418593.63529,113.71,120.26,111.09,9.170000000000002,9.170000000000002,-4.280000000000001
2018-11-29,122.88,124.0,114.78,117.98,478777.39614,117.99,124.0,114.78,9.219999999999999,9.219999999999999,-4.890000000000001
