date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,134.45,134.64,129.95,131.09,24625300.0,128.99,134.64,128.99,4.689999999999998,5.649999999999977,-5.4599999999999795
2018-12-28,135.34,135.92,132.2,133.2,22627600.0,134.45,135.92,132.2,3.719999999999999,3.719999999999999,-0.8900000000000148
2018-12-27,132.44,134.99,129.67,134.52,31202500.0,135.34,135.34,129.67,5.320000000000022,5.670000000000016,2.9000000000000057
2018-12-26,126.0,134.24,125.89,134.18,39723400.0,132.44,134.24,125.89,8.350000000000009,8.350000000000009,6.439999999999998
2018-12-24,123.1,129.74,123.02,124.06,22066000.0,126.0,129.74,123.02,6.720000000000013,6.720000000000013,2.9000000000000057
2018-12-21,133.39,134.9,123.42,124.95,56901500.0,123.1,134.9,123.1,11.480000000000004,11.800000000000011,-10.289999999999992
2018-12-20,130.7,135.57,130.0,133.4,40297900.0,133.39,135.57,130.0,5.569999999999993,5.569999999999993,2.6899999999999977
2018-12-19,141.21,144.91,132.5,133.24,57404900.0,130.7,144.91,130.7,12.409999999999997,14.210000000000008,-10.51000000000002
2018-12-18,141.08,145.93,139.83,143.66,24709100.0,141.21,145.93,139.83,6.099999999999994,6.099999999999994,0.12999999999999545
2018-12-17,143.08,144.92,138.42,140.19,24334000.0,141.08,144.92,138.42,6.5,6.5,-2.0
2018-12-14,143.34,146.0064,142.51,144.06,21785800.0,143.08,146.0064,142.51,3.4964000000000226,3.4964000000000226,-0.2599999999999909
2018-12-13,145.57,145.85,143.19,145.01,18148600.0,143.34,145.85,143.19,2.6599999999999966,2.6599999999999966,-2.2299999999999898
2018-12-12,143.08,147.19,142.51,144.5,23696900.0,145.57,147.19,142.51,4.680000000000007,4.680000000000007,2.4899999999999807
2018-12-11,143.88,143.88,141.1072,142.08,20300300.0,143.08,143.88,141.1072,2.7727999999999895,2.7727999999999895,-0.799999999999983
2018-12-10,139.6,143.05,139.01,141.85,26422200.0,143.88,143.88,139.01,4.0400000000000205,4.8700000000000045,4.280000000000001
2018-12-07,139.25,140.87,136.657,137.42,21195500.0,139.6,140.87,136.657,4.212999999999994,4.212999999999994,0.3499999999999943
2018-12-06,133.82,139.7,133.67,139.63,28218100.0,139.25,139.7,133.67,6.030000000000001,6.030000000000001,5.430000000000007
2018-12-04,140.73,143.39,137.16,137.93,30307400.0,133.82,143.39,133.82,6.22999999999999,9.569999999999993,-6.909999999999997
2018-12-03,143.0,143.68,140.76,141.09,24819200.0,140.73,143.68,140.73,2.920000000000016,2.950000000000017,-2.2700000000000102
2018-11-30,138.26,140.966,137.36,140.61,25732600.0,143.0,143.0,137.36,3.6059999999999945,5.639999999999986,4.740000000000009
2018-11-29,135.92,139.99,135.66,138.68,24238700.0,138.26,139.99,135.66,4.3300000000000125,4.3300000000000125,2.3400000000000034
2018-11-28,136.28,136.79,131.85,136.76,29847500.0,135.92,136.79,131.85,4.939999999999998,4.939999999999998,-0.36000000000001364
