date,open,high,low,close,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,1.2695,1.2815,1.2678,1.275,1.2739,1.2815,1.2678,0.013700000000000045,0.013700000000000045,0.0043999999999999595
2018-12-30,1.2686,1.2707,1.2685,1.2694,1.2695,1.2707,1.2685,0.0021999999999999797,0.0021999999999999797,0.0009000000000001229
2018-12-28,1.2641,1.2708,1.2633,1.2698,1.2686,1.2708,1.2633,0.00749999999999984,0.00749999999999984,0.0044999999999999485
2018-12-27,1.2639,1.2675,1.2614,1.2642,1.2641,1.2675,1.2614,0.006099999999999994,0.006099999999999994,0.00019999999999997797
2018-12-26,1.2671,1.2719,1.2627,1.2639,1.2639,1.2719,1.2627,0.009200000000000097,0.009200000000000097,-0.0031999999999998696
2018-12-25,1.2694,1.271,1.266,1.2672,1.2671,1.271,1.266,0.004999999999999893,0.004999999999999893,-0.0023000000000001908
2018-12-24,1.2642,1.2738,1.2634,1.2701,1.2694,1.2738,1.2634,0.010399999999999965,0.010399999999999965,0.0052000000000000934
2018-12-23,1.2631,1.2657,1.2628,1.2642,1.2642,1.2657,1.2628,0.0029000000000001247,0.0029000000000001247,0.001100000000000101
2018-12-21,1.2656,1.2698,1.2616,1.263,1.2631,1.2698,1.2616,0.008199999999999985,0.008199999999999985,-0.0025000000000001688
2018-12-20,1.2616,1.2707,1.2611,1.2655,1.2656,1.2707,1.2611,0.009599999999999831,0.009599999999999831,0.0040000000000000036
2018-12-19,1.2645,1.2679,1.2605,1.2615,1.2616,1.2679,1.2605,0.007400000000000073,0.007400000000000073,-0.0028999999999999027
2018-12-18,1.2614,1.2706,1.2608,1.2645,1.2645,1.2706,1.2608,0.009800000000000031,0.009800000000000031,0.0030999999999998806
2018-12-17,1.258,1.2647,1.2573,1.2613,1.2614,1.2647,1.2573,0.007399999999999851,0.007399999999999851,0.0034000000000000696
2018-12-16,1.2588,1.2605,1.2572,1.258,1.258,1.2605,1.2572,0.0032999999999998586,0.0032999999999998586,-0.0007999999999999119
2018-12-14,1.2653,1.2662,1.2528,1.2585,1.2588,1.2662,1.2528,0.013400000000000079,0.013400000000000079,-0.006500000000000172
2018-12-13,1.2634,1.2687,1.2608,1.2653,1.2653,1.2687,1.2608,0.007900000000000018,0.007900000000000018,0.0019000000000000128
2018-12-12,1.2487,1.2672,1.2476,1.2629,1.2634,1.2672,1.2476,0.019600000000000062,0.019600000000000062,0.014700000000000157
2018-12-11,1.256,1.2639,1.2478,1.2487,1.2487,1.2639,1.2478,0.016100000000000003,0.016100000000000003,-0.007300000000000084
2018-12-10,1.2713,1.276,1.2506,1.256,1.256,1.276,1.2506,0.02540000000000009,0.02540000000000009,-0.015300000000000091
2018-12-09,1.2731,1.2742,1.2699,1.2713,1.2713,1.2742,1.2699,0.0042999999999999705,0.0042999999999999705,-0.0017999999999998018
2018-12-07,1.2779,1.279,1.2709,1.2729,1.2731,1.279,1.2709,0.008099999999999996,0.008099999999999996,-0.0048000000000001375
2018-12-06,1.2732,1.2812,1.2697,1.2779,1.2779,1.2812,1.2697,0.011499999999999844,0.011499999999999844,0.0046999999999999265
2018-12-05,1.2713,1.2798,1.2671,1.2733,1.2732,1.2798,1.2671,0.012700000000000156,0.012700000000000156,0.0019000000000000128
2018-12-04,1.2724,1.284,1.2658,1.2715,1.2713,1.284,1.2658,0.018199999999999994,0.018199999999999994,-0.0010999999999998789
2018-12-03,1.2736,1.2825,1.2698,1.2724,1.2724,1.2825,1.2698,0.012699999999999934,0.012699999999999934,-0.0012000000000000899
2018-12-02,1.2767,1.2788,1.2729,1.2735,1.2736,1.2788,1.2729,0.005900000000000016,0.005900000000000016,-0.0030999999999998806
2018-11-30,1.2779,1.281,1.2734,1.2751,1.2767,1.281,1.2734,0.007599999999999829,0.007599999999999829,-0.0012000000000000899
2018-11-29,1.2824,1.285,1.2754,1.2777,1.2779,1.285,1.2754,0.009599999999999831,0.009599999999999831,-0.0044999999999999485
2018-11-28,1.2737,1.2847,1.2731,1.2823,1.2824,1.2847,1.2731,0.011600000000000055,0.011600000000000055,0.00869999999999993
2018-11-27,1.2811,1.282,1.2724,1.2737,1.2737,1.282,1.2724,0.009600000000000053,0.009600000000000053,-0.007399999999999851
2018-11-26,1.2816,1.2864,1.2794,1.2811,1.2811,1.2864,1.2794,0.006999999999999895,0.006999999999999895,-0.000500000000000167
2018-11-25,1.284,1.2841,1.2813,1.2816,1.2816,1.2841,1.2813,0.0027999999999999137,0.0027999999999999137,-0.0023999999999999577
2018-11-23,1.2876,1.2883,1.2797,1.2819,1.284,1.2883,1.2797,0.008599999999999941,0.008599999999999941,-0.0036000000000000476
2018-11-22,1.277,1.2928,1.2768,1.2875,1.2876,1.2928,1.2768,0.016000000000000014,0.016000000000000014,0.010600000000000165
2018-11-21,1.2786,1.282,1.2762,1.2769,1.277,1.282,1.2762,0.005800000000000027,0.005800000000000027,-0.0016000000000000458
2018-11-20,1.286,1.2883,1.2775,1.2786,1.2786,1.2883,1.2775,0.01079999999999992,0.01079999999999992,-0.007400000000000073
2018-11-19,1.2832,1.2884,1.2794,1.286,1.286,1.2884,1.2794,0.008999999999999897,0.008999999999999897,0.0028000000000001357
2018-11-18,1.2829,1.2848,1.2821,1.2831,1.2832,1.2848,1.2821,0.0026999999999999247,0.0026999999999999247,0.00029999999999996696
2018-11-16,1.2762,1.2877,1.276,1.2828,1.2829,1.2877,1.276,0.011700000000000044,0.011700000000000044,0.006699999999999928
2018-11-15,1.2988,1.303,1.2723,1.2762,1.2762,1.303,1.2723,0.03069999999999995,0.03069999999999995,-0.022599999999999953
2018-11-14,1.3034,1.3072,1.2879,1.2987,1.2988,1.3072,1.2879,0.019299999999999873,0.019299999999999873,-0.0045999999999999375
2018-11-13,1.2851,1.3047,1.2847,1.3033,1.3034,1.3047,1.2847,0.020000000000000018,0.020000000000000018,0.018299999999999983
2018-11-12,1.2925,1.2947,1.2826,1.2851,1.2851,1.2947,1.2826,0.0121,0.0121,-0.007400000000000073
2018-11-11,1.2959,1.2959,1.2908,1.2926,1.2925,1.2959,1.2908,0.0051000000000001044,0.0051000000000001044,-0.0034000000000000696
2018-11-09,1.3065,1.3069,1.2957,1.2969,1.2959,1.3069,1.2957,0.011199999999999877,0.011199999999999877,-0.010599999999999943
2018-11-08,1.3126,1.315,1.3043,1.3065,1.3065,1.315,1.3043,0.010699999999999932,0.010699999999999932,-0.006099999999999994
2018-11-07,1.3091,1.3175,1.3072,1.3126,1.3126,1.3175,1.3072,0.010299999999999976,0.010299999999999976,0.0035000000000000586
2018-11-06,1.3059,1.3107,1.3019,1.3091,1.3091,1.3107,1.3019,0.008799999999999919,0.008799999999999919,0.0031999999999998696
2018-11-05,1.3007,1.3068,1.2963,1.3059,1.3059,1.3068,1.2963,0.010499999999999954,0.010499999999999954,0.0052000000000000934
2018-11-04,1.3029,1.3061,1.2995,1.3007,1.3007,1.3061,1.2995,0.006599999999999939,0.006599999999999939,-0.0021999999999999797
2018-11-02,1.2997,1.3041,1.2949,1.2971,1.3029,1.3041,1.2949,0.009200000000000097,0.009200000000000097,0.0031999999999998696
2018-11-01,1.2771,1.3035,1.2763,1.2997,1.2997,1.3035,1.2763,0.027200000000000113,0.027200000000000113,0.022600000000000176
2018-10-31,1.2706,1.2831,1.2699,1.2771,1.2771,1.2831,1.2699,0.013199999999999878,0.013199999999999878,0.00649999999999995
2018-10-30,1.2798,1.2813,1.2694,1.2706,1.2706,1.2813,1.2694,0.011900000000000022,0.011900000000000022,-0.009200000000000097
2018-10-29,1.2833,1.2853,1.279,1.2798,1.2798,1.2853,1.279,0.006300000000000194,0.006300000000000194,-0.0035000000000000586
2018-10-28,1.2827,1.2834,1.2814,1.2833,1.2833,1.2834,1.2814,0.0020000000000000018,0.0020000000000000018,0.000600000000000156
2018-10-26,1.2821,1.2841,1.2775,1.2829,1.2827,1.2841,1.2775,0.006599999999999939,0.006599999999999939,0.0005999999999999339
2018-10-25,1.2886,1.292,1.2796,1.2821,1.2821,1.292,1.2796,0.012399999999999967,0.012399999999999967,-0.00649999999999995
2018-10-24,1.2983,1.2991,1.2865,1.2886,1.2886,1.2991,1.2865,0.012599999999999945,0.012599999999999945,-0.009700000000000042
2018-10-23,1.2967,1.3044,1.2936,1.2982,1.2983,1.3044,1.2936,0.01079999999999992,0.01079999999999992,0.0016000000000000458
2018-10-22,1.3065,1.309,1.2954,1.2967,1.2967,1.309,1.2954,0.013599999999999834,0.013599999999999834,-0.009800000000000031
2018-10-21,1.3064,1.3076,1.3044,1.3065,1.3065,1.3076,1.3044,0.0032000000000000917,0.0032000000000000917,9.999999999998899e-05
2018-10-19,1.3021,1.3104,1.301,1.3066,1.3064,1.3104,1.301,0.009400000000000075,0.009400000000000075,0.0042999999999999705
2018-10-18,1.3102,1.3131,1.3013,1.3021,1.3021,1.3131,1.3013,0.011800000000000033,0.011800000000000033,-0.008099999999999996
2018-10-17,1.3185,1.3193,1.3088,1.3101,1.3102,1.3193,1.3088,0.010499999999999954,0.010499999999999954,-0.008299999999999974
2018-10-16,1.3154,1.3236,1.3139,1.3184,1.3185,1.3236,1.3139,0.009700000000000042,0.009700000000000042,0.0031000000000001027
2018-10-15,1.3098,1.3182,1.3097,1.3154,1.3154,1.3182,1.3097,0.008499999999999952,0.008499999999999952,0.005599999999999827
2018-10-14,1.3151,1.3161,1.3081,1.3097,1.3098,1.3161,1.3081,0.008000000000000007,0.008000000000000007,-0.00529999999999986
2018-10-12,1.3234,1.3258,1.3146,1.3151,1.3151,1.3258,1.3146,0.011200000000000099,0.011200000000000099,-0.008299999999999974
2018-10-11,1.3205,1.3247,1.318,1.3234,1.3234,1.3247,1.318,0.006699999999999928,0.006699999999999928,0.0028999999999999027
2018-10-10,1.3144,1.3216,1.3135,1.3204,1.3205,1.3216,1.3135,0.008100000000000218,0.008100000000000218,0.006099999999999994
2018-10-09,1.309,1.315,1.3031,1.3144,1.3144,1.315,1.3031,0.011900000000000022,0.011900000000000022,0.005400000000000071
2018-10-08,1.3126,1.3133,1.3027,1.309,1.309,1.3133,1.3027,0.010599999999999943,0.010599999999999943,-0.0036000000000000476
2018-10-07,1.3104,1.3134,1.3104,1.3126,1.3126,1.3134,1.3104,0.0029999999999998916,0.0029999999999998916,0.0021999999999999797
2018-10-05,1.3023,1.3123,1.3002,1.3117,1.3104,1.3123,1.3002,0.0121,0.0121,0.008099999999999996
2018-10-04,1.2946,1.3041,1.2921,1.3023,1.3023,1.3041,1.2921,0.01200000000000001,0.01200000000000001,0.00770000000000004
2018-10-03,1.2981,1.3023,1.2923,1.2945,1.2946,1.3023,1.2923,0.010000000000000009,0.010000000000000009,-0.0035000000000000586
2018-10-02,1.3042,1.3049,1.2939,1.2981,1.2981,1.3049,1.2939,0.010999999999999899,0.010999999999999899,-0.006099999999999994
2018-10-01,1.3031,1.3115,1.3011,1.3041,1.3042,1.3115,1.3011,0.010400000000000187,0.010400000000000187,0.001100000000000101
