date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,1050.96,1052.7,1023.6695,1035.61,1493300.0,1016.57,1052.7,1016.57,29.030500000000075,36.129999999999995,-34.389999999999986
2018-12-28,1049.62,1055.56,1033.1,1037.08,1414800.0,1050.96,1055.56,1033.1,22.460000000000036,22.460000000000036,1.3400000000001455
2018-12-27,1017.15,1043.89,997.0,1043.88,2109800.0,1049.62,1049.62,997.0,46.8900000000001,52.61999999999989,32.469999999999914
2018-12-26,989.01,1040.0,983.0,1039.46,2373300.0,1017.15,1040.0,983.0,57.0,57.0,28.139999999999986
2018-12-24,973.9,1003.54,970.11,976.22,1590300.0,989.01,1003.54,970.11,33.42999999999995,33.42999999999995,15.110000000000014
2018-12-21,1015.3,1024.02,973.7647,979.54,4596000.0,973.9,1024.02,973.7647,50.255300000000034,50.255300000000034,-41.39999999999998
2018-12-20,1018.13,1034.22,996.2993,1009.41,2673500.0,1015.3,1034.22,996.2993,37.92070000000001,37.92070000000001,-2.830000000000041
2018-12-19,1033.99,1062.0,1008.05,1023.01,2479300.0,1018.13,1062.0,1008.05,53.950000000000045,53.950000000000045,-15.860000000000014
2018-12-18,1026.09,1049.48,1021.44,1028.71,2192500.0,1033.99,1049.48,1021.44,28.039999999999964,28.039999999999964,7.900000000000091
2018-12-17,1037.51,1053.15,1007.9,1016.53,2385400.0,1026.09,1053.15,1007.9,45.250000000000114,45.250000000000114,-11.420000000000073
2018-12-14,1049.98,1062.6,1040.79,1042.1,1686600.0,1037.51,1062.6,1037.51,21.809999999999945,25.089999999999918,-12.470000000000027
2018-12-13,1068.07,1079.76,1053.93,1061.9,1329800.0,1049.98,1079.76,1049.98,25.829999999999927,29.779999999999973,-18.089999999999918
2018-12-12,1068.0,1081.65,1062.79,1063.68,1523800.0,1068.07,1081.65,1062.79,18.860000000000127,18.860000000000127,0.06999999999993634
2018-12-11,1056.49,1060.6,1039.84,1051.75,1394700.0,1068.0,1068.0,1039.84,20.75999999999999,28.160000000000082,11.509999999999991
2018-12-10,1035.05,1048.45,1023.29,1039.55,1807700.0,1056.49,1056.49,1023.29,25.160000000000082,33.200000000000045,21.440000000000055
2018-12-07,1060.01,1075.26,1028.5,1036.58,2101200.0,1035.05,1075.26,1028.5,46.75999999999999,46.75999999999999,-24.960000000000036
2018-12-06,1034.26,1071.2,1030.77,1068.73,2769200.0,1060.01,1071.2,1030.77,40.430000000000064,40.430000000000064,25.75
