date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,101.2871,102.4,100.44,101.57,33173800.0,99.55,102.4,99.55,1.960000000000008,2.8500000000000085,-1.737099999999998
2018-12-28,102.09,102.41,99.52,100.39,38196300.0,101.2871,102.41,99.52,2.8900000000000006,2.8900000000000006,-0.8029000000000082
2018-12-27,99.3,101.19,96.4,101.18,49498500.0,102.09,102.09,96.4,4.789999999999992,5.689999999999998,2.7900000000000063
2018-12-26,95.14,100.69,93.96,100.56,51634800.0,99.3,100.69,93.96,6.730000000000004,6.730000000000004,4.159999999999997
2018-12-24,97.68,97.97,93.98,94.13,43935200.0,95.14,97.97,93.98,3.989999999999995,3.989999999999995,-2.5400000000000063
2018-12-21,101.63,103.0,97.46,98.23,111242100.0,97.68,103.0,97.46,5.540000000000006,5.540000000000006,-3.9499999999999886
2018-12-20,103.05,104.31,98.78,101.51,70334200.0,101.63,104.31,98.78,5.530000000000001,5.530000000000001,-1.4200000000000017
2018-12-19,103.65,106.8773,101.35,103.69,68198200.0,103.05,106.8773,101.35,5.527300000000011,5.527300000000011,-0.6000000000000085
2018-12-18,103.75,104.51,102.52,103.97,49319200.0,103.65,104.51,102.52,1.990000000000009,1.990000000000009,-0.09999999999999432
2018-12-17,105.41,105.8,101.71,102.89,56957300.0,103.75,105.8,101.71,4.090000000000003,4.090000000000003,-1.6599999999999966
2018-12-14,108.2588,109.26,105.5,106.03,47043100.0,105.41,109.26,105.41,3.760000000000005,3.8500000000000085,-2.848799999999997
2018-12-13,109.58,110.87,108.63,109.45,31333400.0,108.2588,110.87,108.2588,2.240000000000009,2.611200000000011,-1.3212000000000046
2018-12-12,110.89,111.27,109.04,109.08,36183000.0,109.58,111.27,109.04,2.2299999999999898,2.2299999999999898,-1.3100000000000023
2018-12-11,109.8,110.95,107.44,108.59,42381900.0,110.89,110.95,107.44,3.510000000000005,3.510000000000005,1.0900000000000034
2018-12-10,104.8,107.98,103.89,107.59,40801500.0,109.8,109.8,103.89,4.090000000000003,5.909999999999997,5.0
2018-12-07,108.38,109.45,104.3,104.82,45044900.0,104.8,109.45,104.3,5.150000000000006,5.150000000000006,-3.5799999999999983
2018-12-06,105.82,109.24,105.0,109.19,49107400.0,108.38,109.24,105.0,4.239999999999995,4.239999999999995,2.5600000000000023
2018-12-04,111.94,112.637,108.212,108.52,45197000.0,105.82,112.637,105.82,4.424999999999997,6.817000000000007,-6.1200000000000045
2018-12-03,113.0,113.42,110.7463,112.09,34732800.0,111.94,113.42,110.7463,2.6736999999999966,2.6736999999999966,-1.0600000000000023
2018-11-30,110.7,110.97,109.36,110.89,33665600.0,113.0,113.0,109.36,1.6099999999999994,3.6400000000000006,2.299999999999997
2018-11-29,110.33,111.115,109.03,110.19,28123200.0,110.7,111.115,109.03,2.0849999999999937,2.0849999999999937,0.37000000000000455
2018-11-28,107.89,111.33,107.86,111.12,46788500.0,110.33,111.33,107.86,3.469999999999999,3.469999999999999,2.4399999999999977
2018-11-27,106.27,107.33,105.36,107.14,29124500.0,107.89,107.89,105.36,1.9699999999999989,2.530000000000001,1.6200000000000045
2018-11-26,104.79,106.63,104.58,106.47,32336200.0,106.27,106.63,104.58,2.049999999999997,2.049999999999997,1.4799999999999898
2018-11-23,102.17,103.81,102.0,103.07,13823100.0,104.79,104.79,102.0,1.8100000000000023,2.7900000000000063,2.6200000000000045
2018-11-21,103.6,104.43,102.2445,103.11,28130600.0,102.17,104.43,102.17,2.1855000000000047,2.260000000000005,-1.4299999999999926
2018-11-20,101.8,102.97,99.353,101.71,64052500.0,103.6,103.6,99.353,3.6170000000000044,4.247,1.7999999999999972
2018-11-19,108.2743,108.56,103.55,104.62,44773900.0,101.8,108.56,101.8,5.010000000000005,6.760000000000005,-6.4742999999999995
2018-11-16,107.08,108.8761,106.8,108.29,33502100.0,108.2743,108.8761,106.8,2.0760999999999967,2.0760999999999967,1.1942999999999984
2018-11-15,104.99,107.8,103.91,107.28,38505200.0,107.08,107.8,103.91,3.8900000000000006,3.8900000000000006,2.0900000000000034
2018-11-14,108.1,108.26,104.47,104.97,39495100.0,104.99,108.26,104.47,3.7900000000000063,3.7900000000000063,-3.1099999999999994
2018-11-13,107.55,108.74,106.64,106.94,35374600.0,108.1,108.74,106.64,2.0999999999999943,2.0999999999999943,0.5499999999999972
2018-11-12,109.42,109.96,106.1,106.87,33621800.0,107.55,109.96,106.1,3.8599999999999994,3.8599999999999994,-1.8700000000000045
2018-11-09,110.85,111.45,108.76,109.57,32039200.0,109.42,111.45,108.76,2.6899999999999977,2.6899999999999977,-1.4299999999999926
2018-11-08,111.8,112.21,110.91,111.75,25644100.0,110.85,112.21,110.85,1.2999999999999972,1.3599999999999994,-0.9500000000000028
2018-11-07,109.44,112.2409,109.4,111.96,37901700.0,111.8,112.2409,109.4,2.8408999999999907,2.8408999999999907,2.3599999999999994
2018-11-06,107.38,108.8366,106.28,107.72,24340200.0,109.44,109.44,106.28,2.556600000000003,3.1599999999999966,2.0600000000000023
2018-11-05,106.37,107.74,105.9,107.51,27922100.0,107.38,107.74,105.9,1.8399999999999892,1.8399999999999892,1.009999999999991
2018-11-02,106.48,107.32,104.975,106.16,37680200.0,106.37,107.32,104.975,2.344999999999999,2.344999999999999,-0.10999999999999943
2018-11-01,107.05,107.32,105.53,105.92,33384200.0,106.48,107.32,105.53,1.789999999999992,1.789999999999992,-0.5699999999999932
2018-10-31,105.435,108.14,105.39,106.81,51062400.0,107.05,108.14,105.39,2.75,2.75,1.6149999999999949
2018-10-30,103.66,104.38,100.11,103.73,65350900.0,105.435,105.435,100.11,4.269999999999996,5.325000000000003,1.7750000000000057
2018-10-29,108.105,108.7,101.63,103.85,55162000.0,103.66,108.7,101.63,7.070000000000007,7.070000000000007,-4.445000000000007
2018-10-26,105.69,108.75,104.76,106.96,55523100.0,108.105,108.75,104.76,3.989999999999995,3.989999999999995,2.4150000000000063
2018-10-25,106.55,109.27,106.15,108.3,61646800.0,105.69,109.27,105.69,3.1199999999999903,3.5799999999999983,-0.8599999999999994
2018-10-24,108.41,108.49,101.59,102.32,63897800.0,106.55,108.49,101.59,6.8999999999999915,6.8999999999999915,-1.8599999999999994
2018-10-23,107.77,108.97,105.11,108.1,43770400.0,108.41,108.97,105.11,3.8599999999999994,3.8599999999999994,0.6400000000000006
2018-10-22,109.32,110.54,108.24,109.63,26545600.0,107.77,110.54,107.77,2.3000000000000114,2.7700000000000102,-1.5499999999999972
2018-10-19,108.93,110.86,108.21,108.66,32785500.0,109.32,110.86,108.21,2.6500000000000057,2.6500000000000057,0.38999999999998636
2018-10-18,110.1,110.53,107.83,108.5,32506200.0,108.93,110.53,107.83,2.700000000000003,2.700000000000003,-1.1699999999999875
2018-10-17,111.68,111.81,109.548,110.71,26548200.0,110.1,111.81,109.548,2.2620000000000005,2.2620000000000005,-1.5800000000000125
2018-10-16,109.54,111.41,108.95,111.0,31610200.0,111.68,111.68,108.95,2.4599999999999937,2.730000000000004,2.1400000000000006
2018-10-15,108.91,109.48,106.947,107.6,32068100.0,109.54,109.54,106.947,2.5330000000000013,2.5930000000000035,0.6300000000000097
2018-10-12,109.01,111.24,107.12,109.57,47742100.0,108.91,111.24,107.12,4.11999999999999,4.11999999999999,-0.10000000000000853
2018-10-11,105.35,108.93,104.2,105.91,63904300.0,109.01,109.01,104.2,4.730000000000004,4.810000000000002,3.660000000000011
2018-10-10,111.24,111.5,105.79,106.16,61376300.0,105.35,111.5,105.35,5.709999999999994,6.150000000000006,-5.890000000000001
2018-10-09,111.14,113.08,110.8,112.26,26198600.0,111.24,113.08,110.8,2.280000000000001,2.280000000000001,0.09999999999999432
2018-10-08,111.66,112.03,109.34,110.85,29640600.0,111.14,112.03,109.34,2.6899999999999977,2.6899999999999977,-0.519999999999996
2018-10-05,112.6289,113.17,110.64,112.13,29068900.0,111.66,113.17,110.64,2.530000000000001,2.530000000000001,-0.968900000000005
2018-10-04,114.61,114.759,111.63,112.79,34821700.0,112.6289,114.759,111.63,3.129000000000005,3.129000000000005,-1.9810999999999979
2018-10-03,115.42,116.1796,114.93,115.17,16648000.0,114.61,116.1796,114.61,1.2495999999999867,1.569599999999994,-0.8100000000000023
2018-10-02,115.3,115.84,114.44,115.15,20787200.0,115.42,115.84,114.44,1.4000000000000057,1.4000000000000057,0.12000000000000455
2018-10-01,114.75,115.68,114.73,115.61,18883100.0,115.3,115.68,114.73,0.9500000000000028,0.9500000000000028,0.5499999999999972
2018-09-28,114.19,114.57,113.6742,114.37,21647800.0,114.75,114.75,113.6742,0.8957999999999942,1.075800000000001,0.5600000000000023
2018-09-27,114.78,114.91,114.2,114.41,19091300.0,114.19,114.91,114.19,0.7099999999999937,0.7199999999999989,-0.5900000000000034
2018-09-26,114.47,115.055,113.74,113.98,19352000.0,114.78,115.055,113.74,1.315000000000012,1.315000000000012,0.3100000000000023
2018-09-25,114.8,115.0857,113.75,114.45,22668000.0,114.47,115.0857,113.75,1.3357000000000028,1.3357000000000028,-0.3299999999999983
2018-09-24,113.03,114.9,112.218,114.67,27334500.0,114.8,114.9,112.218,2.682000000000002,2.682000000000002,1.769999999999996
2018-09-21,114.0,115.29,113.51,114.26,71229700.0,113.03,115.29,113.03,1.7800000000000011,2.260000000000005,-0.9699999999999989
2018-09-20,112.28,113.8155,111.93,113.57,23714500.0,114.0,114.0,111.93,1.8854999999999933,2.069999999999993,1.7199999999999989
2018-09-19,113.05,113.32,111.035,111.7,21728400.0,112.28,113.32,111.035,2.2849999999999966,2.2849999999999966,-0.769999999999996
2018-09-18,112.19,113.695,111.72,113.21,22170900.0,113.05,113.695,111.72,1.9749999999999943,1.9749999999999943,0.8599999999999994
2018-09-17,113.69,113.7,111.86,112.14,20736500.0,112.19,113.7,111.86,1.8400000000000034,1.8400000000000034,-1.5
2018-09-14,113.36,113.73,112.44,113.37,19122300.0,113.69,113.73,112.44,1.2900000000000063,1.2900000000000063,0.3299999999999983
2018-09-13,112.12,113.725,112.12,112.91,26055600.0,113.36,113.725,112.12,1.6049999999999898,1.6049999999999898,1.2399999999999949
2018-09-12,111.43,111.85,110.51,111.71,18891100.0,112.12,112.12,110.51,1.3399999999999892,1.6099999999999994,0.6899999999999977
2018-09-11,108.9,111.59,108.89,111.24,24301800.0,111.43,111.59,108.89,2.700000000000003,2.700000000000003,2.530000000000001
2018-09-10,108.84,109.6353,108.36,109.38,20727900.0,108.9,109.6353,108.36,1.2753000000000014,1.2753000000000014,0.060000000000002274
2018-09-07,108.23,108.725,107.23,108.21,22498600.0,108.84,108.84,107.23,1.4949999999999903,1.6099999999999994,0.6099999999999994
2018-09-06,108.25,108.99,107.51,108.74,23477600.0,108.23,108.99,107.51,1.4799999999999898,1.4799999999999898,-0.01999999999999602
2018-09-05,111.01,111.42,108.1,108.49,32872400.0,108.25,111.42,108.1,3.3200000000000074,3.3200000000000074,-2.760000000000005
2018-09-04,110.85,111.955,110.22,111.71,22634600.0,111.01,111.955,110.22,1.7349999999999994,1.7349999999999994,0.1600000000000108
2018-08-31,111.685,112.777,111.515,112.33,23222700.0,110.85,112.777,110.85,1.2620000000000005,1.9270000000000067,-0.835000000000008
2018-08-30,111.67,112.61,111.44,111.95,22798700.0,111.685,112.61,111.44,1.1700000000000017,1.1700000000000017,0.015000000000000568
2018-08-29,110.45,112.03,110.27,112.02,20818000.0,111.67,112.03,110.27,1.7600000000000051,1.7600000000000051,1.2199999999999989
2018-08-28,109.94,110.4928,109.79,110.26,19151500.0,110.45,110.4928,109.79,0.7027999999999963,0.7027999999999963,0.5100000000000051
2018-08-27,109.27,109.64,108.51,109.6,19662300.0,109.94,109.94,108.51,1.1299999999999955,1.4299999999999926,0.6700000000000017
2018-08-24,107.67,108.56,107.56,108.4,17234000.0,109.27,109.27,107.56,1.0,1.7099999999999937,1.5999999999999943
2018-08-23,107.15,108.18,106.8715,107.56,18167700.0,107.67,108.18,106.8715,1.3085000000000093,1.3085000000000093,0.519999999999996
2018-08-22,105.85,107.34,105.78,107.06,18000600.0,107.15,107.34,105.78,1.5600000000000023,1.5600000000000023,1.3000000000000114
2018-08-21,106.92,107.35,105.85,105.98,22881900.0,105.85,107.35,105.85,1.5,1.5,-1.0700000000000074
2018-08-20,107.51,107.9,106.48,106.87,17914200.0,106.92,107.9,106.48,1.4200000000000017,1.4200000000000017,-0.5900000000000034
2018-08-17,107.3588,107.9,106.69,107.58,18061500.0,107.51,107.9,106.69,1.210000000000008,1.210000000000008,0.1512000000000029
2018-08-16,108.3,108.86,107.3,107.64,21384300.0,107.3588,108.86,107.3,1.5600000000000023,1.5600000000000023,-0.9411999999999949
2018-08-15,108.49,108.985,106.82,107.66,29982800.0,108.3,108.985,106.82,2.1650000000000063,2.1650000000000063,-0.18999999999999773
2018-08-14,108.56,109.75,108.04,109.56,16788300.0,108.49,109.75,108.04,1.7099999999999937,1.7099999999999937,-0.07000000000000739
2018-08-13,109.24,109.58,108.1,108.21,18472500.0,108.56,109.58,108.1,1.480000000000004,1.480000000000004,-0.6799999999999926
2018-08-10,109.42,109.69,108.38,109.0,18183700.0,109.24,109.69,108.38,1.3100000000000023,1.3100000000000023,-0.18000000000000682
2018-08-09,109.71,110.16,109.6,109.67,13677200.0,109.42,110.16,109.42,0.5600000000000023,0.7399999999999949,-0.28999999999999204
2018-08-08,109.33,109.75,108.76,109.49,15487500.0,109.71,109.75,108.76,0.9899999999999949,0.9899999999999949,0.37999999999999545
2018-08-07,108.56,109.1,108.17,108.88,16080200.0,109.33,109.33,108.17,0.9299999999999926,1.1599999999999966,0.769999999999996
2018-08-06,108.12,108.42,107.559,108.13,20265900.0,108.56,108.56,107.559,0.8610000000000042,1.0010000000000048,0.4399999999999977
2018-08-03,107.8,108.05,106.82,108.04,18659600.0,108.12,108.12,106.82,1.230000000000004,1.3000000000000114,0.3200000000000074
2018-08-02,105.4,108.09,104.84,107.57,26104300.0,107.8,108.09,104.84,3.25,3.25,2.3999999999999915
2018-08-01,106.03,106.446,105.42,106.28,23628700.0,105.4,106.446,105.4,1.0259999999999962,1.0459999999999923,-0.6299999999999955
2018-07-31,106.49,106.72,105.38,106.08,27655200.0,106.03,106.72,105.38,1.3400000000000034,1.3400000000000034,-0.45999999999999375
2018-07-30,107.19,107.53,104.76,105.37,34668300.0,106.49,107.53,104.76,2.769999999999996,2.769999999999996,-0.7000000000000028
2018-07-27,110.18,110.18,106.14,107.68,37005300.0,107.19,110.18,106.14,4.040000000000006,4.040000000000006,-2.990000000000009
2018-07-26,110.74,111.0,109.5,109.62,31372100.0,110.18,111.0,109.5,1.5,1.5,-0.5599999999999881
2018-07-25,107.955,111.15,107.6,110.83,30702100.0,110.74,111.15,107.6,3.5500000000000114,3.5500000000000114,2.7849999999999966
2018-07-24,108.57,108.82,107.26,107.66,26316600.0,107.955,108.82,107.26,1.559999999999988,1.559999999999988,-0.6149999999999949
2018-07-23,106.3,108.14,106.13,107.97,29707000.0,108.57,108.57,106.13,2.010000000000005,2.4399999999999977,2.269999999999996
2018-07-20,108.08,108.2,106.08,106.27,56004000.0,106.3,108.2,106.08,2.1200000000000045,2.1200000000000045,-1.7800000000000011
2018-07-19,104.93,105.31,103.89,104.4,40171600.0,108.08,108.08,103.89,1.4200000000000017,4.189999999999998,3.1499999999999915
2018-07-18,105.9419,106.05,104.715,105.12,29493900.0,104.93,106.05,104.715,1.3349999999999937,1.3349999999999937,-1.0118999999999971
2018-07-17,104.61,106.5,104.32,105.95,25901700.0,105.9419,106.5,104.32,2.180000000000007,2.180000000000007,1.3319000000000045
2018-07-16,105.4,105.82,104.515,104.91,21786900.0,104.61,105.82,104.515,1.3049999999999926,1.3049999999999926,-0.7900000000000063
2018-07-13,104.37,105.6,104.09,105.43,24635200.0,105.4,105.6,104.09,1.509999999999991,1.509999999999991,1.0300000000000011
2018-07-12,102.7713,104.41,102.73,104.19,24335900.0,104.37,104.41,102.73,1.6799999999999926,1.6799999999999926,1.598700000000008
2018-07-11,101.15,102.34,101.1,101.98,19644600.0,102.7713,102.7713,101.1,1.240000000000009,1.6713000000000022,1.6212999999999909
2018-07-10,102.0,102.51,101.86,102.12,19293100.0,101.15,102.51,101.15,0.6500000000000057,1.3599999999999994,-0.8499999999999943
2018-07-09,101.645,102.25,101.251,101.85,18212000.0,102.0,102.25,101.251,0.9989999999999952,0.9989999999999952,0.355000000000004
2018-07-06,99.885,101.43,99.67,101.16,19234600.0,101.645,101.645,99.67,1.7600000000000051,1.9749999999999943,1.759999999999991
2018-07-05,99.5,99.92,99.03,99.76,18977400.0,99.885,99.92,99.03,0.8900000000000006,0.8900000000000006,0.3850000000000051
2018-07-03,100.48,100.63,98.94,99.05,14670300.0,99.5,100.63,98.94,1.6899999999999977,1.6899999999999977,-0.980000000000004
2018-07-02,98.1,100.06,98.0003,100.01,19564500.0,100.48,100.48,98.0003,2.0597000000000065,2.4797000000000082,2.3800000000000097
2018-06-29,98.93,99.91,98.33,98.61,28053200.0,98.1,99.91,98.1,1.5799999999999983,1.8100000000000023,-0.8300000000000125
2018-06-28,97.38,99.11,97.26,98.63,26650700.0,98.93,99.11,97.26,1.8499999999999943,1.8499999999999943,1.5500000000000114
2018-06-27,99.58,100.02,97.4,97.54,31298400.0,97.38,100.02,97.38,2.6199999999999903,2.6400000000000006,-2.200000000000003
2018-06-26,98.82,100.08,98.7528,99.08,26897200.0,99.58,100.08,98.7528,1.3272000000000048,1.3272000000000048,0.7600000000000051
2018-06-25,100.0,100.11,97.3,98.39,35433300.0,98.82,100.11,97.3,2.8100000000000023,2.8100000000000023,-1.1800000000000068
2018-06-22,100.4099,100.77,99.625,100.41,38923100.0,100.0,100.77,99.625,1.144999999999996,1.144999999999996,-0.40989999999999327
2018-06-21,102.075,102.46,100.88,101.14,23198200.0,100.4099,102.46,100.4099,1.5799999999999983,2.0501000000000005,-1.6651000000000096
2018-06-20,101.37,102.52,101.12,101.87,26180800.0,102.075,102.52,101.12,1.3999999999999915,1.3999999999999915,0.7049999999999983
2018-06-19,99.65,101.0,99.5,100.86,28653100.0,101.37,101.37,99.5,1.5,1.8700000000000045,1.7199999999999989
2018-06-18,100.01,101.11,99.42,100.86,23586000.0,99.65,101.11,99.42,1.6899999999999977,1.6899999999999977,-0.35999999999999943
2018-06-15,101.51,101.53,100.07,100.13,65738600.0,100.01,101.53,100.01,1.460000000000008,1.519999999999996,-1.5
2018-06-14,101.65,102.03,101.0,101.42,25691800.0,101.51,102.03,101.0,1.0300000000000011,1.0300000000000011,-0.14000000000000057
2018-06-13,101.72,102.01,100.56,100.85,29492900.0,101.65,102.01,100.56,1.4500000000000028,1.4500000000000028,-0.06999999999999318
2018-06-12,101.1,101.449,100.75,101.31,18325200.0,101.72,101.72,100.75,0.6989999999999981,0.9699999999999989,0.6200000000000045
2018-06-11,101.37,101.59,100.67,101.05,23490900.0,101.1,101.59,100.67,0.9200000000000017,0.9200000000000017,-0.27000000000001023
2018-06-08,101.092,101.95,100.5342,101.63,22165100.0,101.37,101.95,100.5342,1.4158000000000044,1.4158000000000044,0.2780000000000058
2018-06-07,102.65,102.69,100.38,100.88,28232200.0,101.092,102.69,100.38,2.3100000000000023,2.3100000000000023,-1.558000000000007
2018-06-06,102.48,102.6,101.9,102.49,21122900.0,102.65,102.65,101.9,0.6999999999999886,0.75,0.1700000000000017
2018-06-05,102.0,102.33,101.5341,102.19,23514400.0,102.48,102.48,101.5341,0.7959000000000032,0.9459000000000088,0.480000000000004
2018-06-04,101.26,101.86,100.851,101.67,27281600.0,102.0,102.0,100.851,1.0090000000000003,1.149000000000001,0.7399999999999949
2018-06-01,99.28,100.86,99.17,100.79,28655600.0,101.26,101.26,99.17,1.6899999999999977,2.0900000000000034,1.980000000000004
2018-05-31,99.29,99.99,98.61,98.84,34140900.0,99.28,99.99,98.61,1.3799999999999955,1.3799999999999955,-0.010000000000005116
2018-05-30,98.31,99.25,97.91,98.95,22158500.0,99.29,99.29,97.91,1.3400000000000034,1.3800000000000097,0.980000000000004
2018-05-29,97.84,98.88,97.23,98.01,28671000.0,98.31,98.88,97.23,1.6499999999999915,1.6499999999999915,0.46999999999999886
2018-05-25,98.3,98.98,97.86,98.36,18363900.0,97.84,98.98,97.84,1.1200000000000045,1.1400000000000006,-0.45999999999999375
2018-05-24,98.725,98.94,96.81,98.31,26649300.0,98.3,98.94,96.81,2.1299999999999955,2.1299999999999955,-0.42499999999999716
2018-05-23,96.71,98.73,96.32,98.66,21251200.0,98.725,98.73,96.32,2.410000000000011,2.410000000000011,2.0150000000000006
2018-05-22,97.68,98.17,97.2,97.5,15441200.0,96.71,98.17,96.71,0.9699999999999989,1.460000000000008,-0.9700000000000131
2018-05-21,97.0,98.01,96.8,97.6,19422500.0,97.68,98.01,96.8,1.210000000000008,1.210000000000008,0.6800000000000068
2018-05-18,96.01,96.93,96.01,96.36,17865800.0,97.0,97.0,96.01,0.9200000000000017,0.9899999999999949,0.9899999999999949
2018-05-17,96.76,97.54,95.83,96.18,17246700.0,96.01,97.54,95.83,1.710000000000008,1.710000000000008,-0.75
2018-05-16,97.36,97.4,96.615,97.15,17384700.0,96.76,97.4,96.615,0.7850000000000108,0.7850000000000108,-0.5999999999999943
2018-05-15,97.24,97.85,96.34,97.32,24594000.0,97.36,97.85,96.34,1.509999999999991,1.509999999999991,0.12000000000000455
2018-05-14,97.92,98.69,97.31,98.03,19454100.0,97.24,98.69,97.24,1.3799999999999955,1.4500000000000028,-0.6800000000000068
2018-05-11,97.8,97.87,97.04,97.7,16778300.0,97.92,97.92,97.04,0.8299999999999983,0.8799999999999955,0.12000000000000455
