date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,2498.9399,2509.24,2482.8201,2506.8501,3442870000.0,2476.96,2509.24,2476.96,26.41989999999987,32.279999999999745,-21.979899999999816
2018-12-28,2498.77,2520.27,2472.8899,2485.74,3702620000.0,2498.9399,2520.27,2472.8899,47.38009999999986,47.38009999999986,0.1698999999998705
2018-12-27,2442.5,2489.1001,2397.9399,2488.8301,4096610000.0,2498.77,2498.77,2397.9399,91.16020000000026,100.83010000000013,56.26999999999998
2018-12-26,2363.1201,2467.76,2346.5801,2467.7,4233990000.0,2442.5,2467.76,2346.5801,121.17990000000009,121.17990000000009,79.3798999999999
2018-12-24,2400.5601,2410.3401,2351.1001,2351.1001,2613930000.0,2363.1201,2410.3401,2351.1001,59.23999999999978,59.23999999999978,-37.440000000000055
2018-12-21,2465.3799,2504.4099,2408.55,2416.6201,7609010000.0,2400.5601,2504.4099,2400.5601,95.85989999999993,103.84979999999996,-64.81979999999976
2018-12-20,2496.77,2509.6299,2441.1799,2467.4199,5585780000.0,2465.3799,2509.6299,2441.1799,68.44999999999982,68.44999999999982,-31.390100000000075
2018-12-19,2547.05,2585.29,2488.96,2506.96,5127940000.0,2496.77,2585.29,2488.96,96.32999999999993,96.32999999999993,-50.2800000000002
2018-12-18,2559.8999,2573.99,2528.71,2546.1599,4470880000.0,2547.05,2573.99,2528.71,45.279999999999745,45.279999999999745,-12.849899999999707
2018-12-17,2590.75,2601.1299,2530.54,2545.9399,4616350000.0,2559.8999,2601.1299,2530.54,70.58989999999994,70.58989999999994,-30.85010000000011
2018-12-14,2629.6799,2635.0701,2593.8401,2599.95,4035020000.0,2590.75,2635.0701,2590.75,41.23000000000002,44.32009999999991,-38.92990000000009
2018-12-13,2658.7,2670.1899,2637.27,2650.54,3927720000.0,2629.6799,2670.1899,2629.6799,32.91989999999987,40.50999999999976,-29.02009999999973
2018-12-12,2658.23,2685.4399,2650.26,2651.0701,3958890000.0,2658.7,2685.4399,2650.26,35.179899999999634,35.179899999999634,0.4699999999997999
2018-12-11,2664.4399,2674.3501,2621.3,2636.78,3905870000.0,2658.23,2674.3501,2621.3,53.05009999999993,53.05009999999993,-6.209899999999834
2018-12-10,2630.8601,2647.51,2583.23,2637.72,4151030000.0,2664.4399,2664.4399,2583.23,64.2800000000002,81.20989999999983,33.57979999999998
2018-12-07,2691.26,2708.54,2623.1399,2633.0801,4216690000.0,2630.8601,2708.54,2623.1399,85.40009999999984,85.40009999999984,-60.39990000000034
2018-12-06,2663.51,2696.1499,2621.53,2695.95,5141470000.0,2691.26,2696.1499,2621.53,74.61989999999969,74.61989999999969,27.75
2018-12-04,2782.4299,2785.9299,2697.1799,2700.0601,4499840000.0,2663.51,2785.9299,2663.51,88.75,122.41989999999987,-118.91989999999987
2018-12-03,2790.5,2800.1799,2773.3799,2790.3701,4186060000.0,2782.4299,2800.1799,2773.3799,26.800000000000182,26.800000000000182,-8.070099999999911
2018-11-30,2737.76,2760.8799,2732.76,2760.1699,4658580000.0,2790.5,2790.5,2732.76,28.11989999999969,57.73999999999978,52.73999999999978
2018-11-29,2736.97,2753.75,2722.9399,2737.8,3560770000.0,2737.76,2753.75,2722.9399,30.810100000000148,30.810100000000148,0.7900000000004184
2018-11-28,2691.45,2744.0,2684.3799,2743.79,3951670000.0,2736.97,2744.0,2684.3799,59.62010000000009,59.62010000000009,45.51999999999998
2018-11-27,2663.75,2682.53,2655.8899,2682.1699,3485220000.0,2691.45,2691.45,2655.8899,26.640100000000075,35.56009999999969,27.699999999999818
2018-11-26,2649.97,2674.3501,2649.97,2673.45,3443950000.0,2663.75,2674.3501,2649.97,24.38010000000031,24.38010000000031,13.7800000000002
2018-11-23,2633.3601,2647.55,2631.0901,2632.5601,1651650000.0,2649.97,2649.97,2631.0901,16.45990000000029,18.879899999999907,16.609899999999925
