date,open,high,low,close,volume,close_24,high_24,low_24,range,range_24,change_24
2018-12-31,28.6,29.13,28.34,28.74,15975000.0,28.26,29.13,28.26,0.7899999999999991,0.8699999999999974,-0.33999999999999986
2018-12-28,28.93,29.14,27.84,28.43,21820500.0,28.6,29.14,27.84,1.3000000000000007,1.3000000000000007,-0.3299999999999983
2018-12-27,28.14,28.92,27.26,28.68,31987700.0,28.93,28.93,27.26,1.6600000000000001,1.6699999999999982,0.7899999999999991
2018-12-26,27.0,28.7,26.8,28.66,35529600.0,28.14,28.7,26.8,1.8999999999999986,1.8999999999999986,1.1400000000000006
2018-12-24,26.55,27.27,26.26,26.45,18208300.0,27.0,27.27,26.26,1.009999999999998,1.009999999999998,0.4499999999999993
2018-12-21,29.31,29.76,27.0411,27.31,38714100.0,26.55,29.76,26.55,2.7189000000000014,3.210000000000001,-2.759999999999998
2018-12-20,32.59,32.72,28.51,29.29,51983000.0,29.31,32.72,28.51,4.209999999999997,4.209999999999997,-3.2800000000000047
2018-12-19,33.71,34.7,32.66,32.93,24784300.0,32.59,34.7,32.59,2.0400000000000063,2.1099999999999994,-1.1199999999999974
2018-12-18,33.63,34.17,33.08,33.74,18885100.0,33.71,34.17,33.08,1.0900000000000034,1.0900000000000034,0.0799999999999983
2018-12-17,35.68,35.7,33.2,33.43,23880900.0,33.63,35.7,33.2,2.5,2.5,-2.049999999999997
2018-12-14,35.25,36.62,35.05,35.87,19528500.0,35.68,36.62,35.05,1.5700000000000003,1.5700000000000003,0.4299999999999997
2018-12-13,36.4,36.49,35.3,35.89,22831600.0,35.25,36.49,35.25,1.1900000000000048,1.240000000000002,-1.1499999999999986
2018-12-12,34.97,37.135,34.85,36.25,32608500.0,36.4,37.135,34.85,2.2849999999999966,2.2849999999999966,1.4299999999999997
2018-12-11,34.13,35.75,33.88,34.45,30118600.0,34.97,35.75,33.88,1.8699999999999974,1.8699999999999974,0.8399999999999963
2018-12-10,32.73,33.64,32.255,33.43,19971100.0,34.13,34.13,32.255,1.384999999999998,1.875,1.4000000000000057
2018-12-07,32.84,34.37,32.675,32.83,29497100.0,32.73,34.37,32.675,1.6950000000000003,1.6950000000000003,-0.11000000000000654
2018-12-06,32.46,32.97,31.11,32.96,25922800.0,32.84,32.97,31.11,1.8599999999999994,1.8599999999999994,0.38000000000000256
2018-12-04,33.28,34.16,32.5,32.56,22472000.0,32.46,34.16,32.46,1.6599999999999966,1.6999999999999957,-0.8200000000000003
2018-12-03,32.24,33.85,32.21,33.66,24027100.0,33.28,33.85,32.21,1.6400000000000006,1.6400000000000006,1.0399999999999991
2018-11-30,31.1504,31.55,30.11,31.45,25833200.0,32.24,32.24,30.11,1.4400000000000013,2.1300000000000026,1.0896000000000008
2018-11-29,32.46,32.54,29.87,31.3,50505700.0,31.1504,32.54,29.87,2.669999999999998,2.669999999999998,-1.3095999999999997
