date,phase
1/1/2018,Full Moon
1/8/2018,Last Quarter
1/16/2018,New Moon
1/24/2018,First Quarter
1/31/2018,Full Moon
2/7/2018,Last Quarter
2/15/2018,New Moon
2/23/2018,First Quarter
3/1/2018,Full Moon
3/9/2018,Last Quarter
3/17/2018,New Moon
3/24/2018,First Quarter
3/31/2018,Full Moon
4/8/2018,Last Quarter
4/15/2018,New Moon
4/22/2018,First Quarter
4/29/2018,Full Moon
5/7/2018,Last Quarter
5/15/2018,New Moon
5/21/2018,First Quarter
5/29/2018,Full Moon
6/6/2018,Last Quarter
6/13/2018,New Moon
6/20/2018,First Quarter
6/27/2018,Full Moon
7/6/2018,Last Quarter
7/12/2018,New Moon
7/19/2018,First Quarter
7/27/2018,Full Moon
8/4/2018,Last Quarter
8/11/2018,New Moon
8/18/2018,First Quarter
8/26/2018,Full Moon
9/2/2018,Last Quarter
9/9/2018,New Moon
9/16/2018,First Quarter
9/24/2018,Full Moon
10/2/2018,Last Quarter
10/8/2018,New Moon
10/16/2018,First Quarter
10/24/2018,Full Moon
10/31/2018,Last Quarter
11/7/2018,New Moon
11/15/2018,First Quarter
11/22/2018,Full Moon
11/29/2018,Last Quarter
12/7/2018,New Moon
12/15/2018,First Quarter
12/22/2018,Full Moon
12/29/2018,Last Quarter
