timestamp,sentiment,tally
2018-01-01,negative,94
2018-01-01,neutral,128
2018-01-01,positive,798
2018-01-02,negative,131
2018-01-02,neutral,218
2018-01-02,positive,669
2018-01-03,negative,153
2018-01-03,neutral,216
2018-01-03,positive,651
2018-01-04,negative,140
2018-01-04,neutral,272
2018-01-04,positive,608
2018-01-05,negative,134
2018-01-05,neutral,230
2018-01-05,positive,656
2018-01-06,negative,154
2018-01-06,neutral,264
2018-01-06,positive,602
2018-01-07,negative,156
2018-01-07,neutral,270
2018-01-07,positive,594
2018-01-08,negative,147
2018-01-08,neutral,269
2018-01-08,positive,604
2018-01-09,negative,153
2018-01-09,neutral,269
2018-01-09,positive,597
2018-01-10,negative,156
2018-01-10,neutral,263
2018-01-10,positive,601
2018-01-11,negative,172
2018-01-11,neutral,266
2018-01-11,positive,581
2018-01-12,negative,161
2018-01-12,neutral,239
2018-01-12,positive,620
2018-01-13,negative,3
2018-01-13,neutral,5
2018-01-13,positive,12
2018-01-14,negative,182
2018-01-14,neutral,257
2018-01-14,positive,581
2018-01-15,negative,186
2018-01-15,neutral,262
2018-01-15,positive,572
2018-01-16,negative,159
2018-01-16,neutral,232
2018-01-16,positive,629
2018-01-17,negative,159
2018-01-17,neutral,262
2018-01-17,positive,599
2018-01-18,negative,153
2018-01-18,neutral,279
2018-01-18,positive,588
2018-01-19,negative,157
2018-01-19,neutral,262
2018-01-19,positive,601
2018-01-20,negative,176
2018-01-20,neutral,262
2018-01-20,positive,582
2018-01-21,negative,174
2018-01-21,neutral,270
2018-01-21,positive,576
2018-01-22,negative,164
2018-01-22,neutral,243
2018-01-22,positive,613
2018-01-23,negative,173
2018-01-23,neutral,298
2018-01-23,positive,549
2018-01-24,negative,157
2018-01-24,neutral,251
2018-01-24,positive,612
2018-01-25,negative,143
2018-01-25,neutral,242
2018-01-25,positive,635
2018-01-26,negative,175
2018-01-26,neutral,231
2018-01-26,positive,614
2018-01-27,negative,161
2018-01-27,neutral,240
2018-01-27,positive,619
2018-01-28,negative,149
2018-01-28,neutral,277
2018-01-28,positive,594
2018-01-29,negative,166
2018-01-29,neutral,282
2018-01-29,positive,572
2018-01-30,negative,180
2018-01-30,neutral,269
2018-01-30,positive,571
2018-01-31,negative,132
2018-01-31,neutral,263
2018-01-31,positive,625
2018-02-01,negative,107
2018-02-01,neutral,218
2018-02-01,positive,694
2018-02-02,negative,166
2018-02-02,neutral,257
2018-02-02,positive,597
2018-02-03,negative,156
2018-02-03,neutral,250
2018-02-03,positive,614
2018-02-04,negative,143
2018-02-04,neutral,251
2018-02-04,positive,626
2018-02-05,negative,168
2018-02-05,neutral,289
2018-02-05,positive,563
2018-02-06,negative,171
2018-02-06,neutral,266
2018-02-06,positive,583
2018-02-07,negative,170
2018-02-07,neutral,247
2018-02-07,positive,603
2018-02-08,negative,137
2018-02-08,neutral,264
2018-02-08,positive,619
2018-02-09,negative,190
2018-02-09,neutral,221
2018-02-09,positive,609
2018-02-10,negative,170
2018-02-10,neutral,240
2018-02-10,positive,610
2018-02-11,negative,150
2018-02-11,neutral,263
2018-02-11,positive,607
2018-02-12,negative,153
2018-02-12,neutral,299
2018-02-12,positive,568
2018-02-13,negative,100
2018-02-13,neutral,179
2018-02-13,positive,741
2018-02-14,negative,38
2018-02-14,neutral,27
2018-02-14,positive,235
2018-02-15,negative,174
2018-02-15,neutral,263
2018-02-15,positive,583
2018-02-16,negative,141
