timestamp,sentiment,tally
2018-01-01,negative,207
2018-01-01,neutral,469
2018-01-01,positive,344
2018-01-02,negative,193
2018-01-02,neutral,514
2018-01-02,positive,311
2018-01-03,negative,179
2018-01-03,neutral,498
2018-01-03,positive,343
2018-01-04,negative,187
2018-01-04,neutral,508
2018-01-04,positive,325
2018-01-05,negative,207
2018-01-05,neutral,472
2018-01-05,positive,341
2018-01-06,negative,185
2018-01-06,neutral,510
2018-01-06,positive,325
2018-01-07,negative,237
2018-01-07,neutral,458
2018-01-07,positive,325
2018-01-08,negative,177
2018-01-08,neutral,473
2018-01-08,positive,370
2018-01-09,negative,169
2018-01-09,neutral,533
2018-01-09,positive,317
2018-01-10,negative,174
2018-01-10,neutral,532
2018-01-10,positive,314
2018-01-11,negative,207
2018-01-11,neutral,526
2018-01-11,positive,286
2018-01-12,negative,201
2018-01-12,neutral,507
2018-01-12,positive,312
2018-01-13,negative,5
2018-01-13,neutral,11
2018-01-13,positive,4
2018-01-14,negative,216
2018-01-14,neutral,509
2018-01-14,positive,295
2018-01-15,negative,198
2018-01-15,neutral,518
2018-01-15,positive,304
2018-01-16,negative,212
2018-01-16,neutral,531
2018-01-16,positive,277
2018-01-17,negative,197
2018-01-17,neutral,517
2018-01-17,positive,306
2018-01-18,negative,211
2018-01-18,neutral,497
2018-01-18,positive,312
2018-01-19,negative,217
2018-01-19,neutral,526
2018-01-19,positive,277
2018-01-20,negative,222
2018-01-20,neutral,500
2018-01-20,positive,298
2018-01-21,negative,225
2018-01-21,neutral,495
2018-01-21,positive,300
2018-01-22,negative,229
2018-01-22,neutral,503
2018-01-22,positive,288
2018-01-23,negative,211
2018-01-23,neutral,511
2018-01-23,positive,298
2018-01-24,negative,194
2018-01-24,neutral,509
2018-01-24,positive,317
2018-01-25,negative,180
2018-01-25,neutral,503
2018-01-25,positive,337
2018-01-26,negative,188
2018-01-26,neutral,530
2018-01-26,positive,302
2018-01-27,negative,173
2018-01-27,neutral,524
2018-01-27,positive,323
2018-01-28,negative,191
2018-01-28,neutral,487
2018-01-28,positive,342
2018-01-29,negative,179
2018-01-29,neutral,504
2018-01-29,positive,337
2018-01-30,negative,208
2018-01-30,neutral,520
2018-01-30,positive,292
2018-01-31,negative,168
2018-01-31,neutral,546
2018-01-31,positive,306
2018-02-01,negative,174
2018-02-01,neutral,510
2018-02-01,positive,335
2018-02-02,negative,185
2018-02-02,neutral,498
2018-02-02,positive,337
2018-02-03,negative,208
2018-02-03,neutral,494
2018-02-03,positive,318
2018-02-04,negative,206
2018-02-04,neutral,532
2018-02-04,positive,282
2018-02-05,negative,176
2018-02-05,neutral,505
