date,sentiment,tally,query
2018-01-01,negative,47,data science OR coding OR programming
2018-01-01,neutral,586,data science OR coding OR programming
2018-01-01,positive,387,data science OR coding OR programming
2018-01-02,negative,74,data science OR coding OR programming
2018-01-02,neutral,619,data science OR coding OR programming
2018-01-02,positive,325,data science OR coding OR programming
2018-01-03,negative,58,data science OR coding OR programming
2018-01-03,neutral,595,data science OR coding OR programming
2018-01-03,positive,367,data science OR coding OR programming
2018-01-04,negative,82,data science OR coding OR programming
2018-01-04,neutral,590,data science OR coding OR programming
2018-01-04,positive,348,data science OR coding OR programming
2018-01-05,negative,100,data science OR coding OR programming
2018-01-05,neutral,555,data science OR coding OR programming
2018-01-05,positive,365,data science OR coding OR programming
2018-01-06,negative,71,data science OR coding OR programming
2018-01-06,neutral,625,data science OR coding OR programming
2018-01-06,positive,324,data science OR coding OR programming
2018-01-07,negative,71,data science OR coding OR programming
2018-01-07,neutral,635,data science OR coding OR programming
2018-01-07,positive,314,data science OR coding OR programming
2018-01-08,negative,65,data science OR coding OR programming
2018-01-08,neutral,573,data science OR coding OR programming
2018-01-08,positive,382,data science OR coding OR programming
2018-01-09,negative,87,data science OR coding OR programming
2018-01-09,neutral,543,data science OR coding OR programming
2018-01-09,positive,389,data science OR coding OR programming
2018-01-10,negative,103,data science OR coding OR programming
2018-01-10,neutral,545,data science OR coding OR programming
2018-01-10,positive,372,data science OR coding OR programming
2018-01-11,negative,83,data science OR coding OR programming
2018-01-11,neutral,597,data science OR coding OR programming
2018-01-11,positive,339,data science OR coding OR programming
2018-01-12,negative,51,data science OR coding OR programming
2018-01-12,neutral,617,data science OR coding OR programming
2018-01-12,positive,352,data science OR coding OR programming
2018-01-13,negative,2,data science OR coding OR programming
2018-01-13,neutral,12,data science OR coding OR programming
2018-01-13,positive,6,data science OR coding OR programming
2018-01-14,negative,52,data science OR coding OR programming
2018-01-14,neutral,665,data science OR coding OR programming
2018-01-14,positive,303,data science OR coding OR programming
2018-01-15,negative,72,data science OR coding OR programming
2018-01-15,neutral,647,data science OR coding OR programming
2018-01-15,positive,301,data science OR coding OR programming
2018-01-16,negative,69,data science OR coding OR programming
2018-01-16,neutral,639,data science OR coding OR programming
2018-01-16,positive,312,data science OR coding OR programming
2018-01-17,negative,73,data science OR coding OR programming
2018-01-17,neutral,562,data science OR coding OR programming
2018-01-17,positive,385,data science OR coding OR programming
2018-01-18,negative,68,data science OR coding OR programming
2018-01-18,neutral,611,data science OR coding OR programming
2018-01-18,positive,341,data science OR coding OR programming
2018-01-19,negative,57,data science OR coding OR programming
2018-01-19,neutral,586,data science OR coding OR programming
2018-01-19,positive,377,data science OR coding OR programming
2018-01-20,negative,120,data science OR coding OR programming
2018-01-20,neutral,610,data science OR coding OR programming
2018-01-20,positive,290,data science OR coding OR programming
2018-01-21,negative,55,data science OR coding OR programming
2018-01-21,neutral,645,data science OR coding OR programming
2018-01-21,positive,320,data science OR coding OR programming
2018-01-22,negative,42,data science OR coding OR programming
2018-01-22,neutral,632,data science OR coding OR programming
2018-01-22,positive,346,data science OR coding OR programming
2018-01-23,negative,61,data science OR coding OR programming
2018-01-23,neutral,614,data science OR coding OR programming
2018-01-23,positive,345,data science OR coding OR programming
2018-01-24,negative,51,data science OR coding OR programming
2018-01-24,neutral,662,data science OR coding OR programming
2018-01-24,positive,307,data science OR coding OR programming
2018-01-25,negative,65,data science OR coding OR programming
2018-01-25,neutral,562,data science OR coding OR programming
2018-01-25,positive,393,data science OR coding OR programming
2018-01-26,negative,64,data science OR coding OR programming
2018-01-26,neutral,542,data science OR coding OR programming
2018-01-26,positive,414,data science OR coding OR programming
2018-01-27,negative,62,data science OR coding OR programming
2018-01-27,neutral,604,data science OR coding OR programming
2018-01-27,positive,354,data science OR coding OR programming
2018-01-28,negative,62,data science OR coding OR programming
2018-01-28,neutral,650,data science OR coding OR programming
2018-01-28,positive,308,data science OR coding OR programming
2018-01-29,negative,71,data science OR coding OR programming
2018-01-29,neutral,655,data science OR coding OR programming
2018-01-29,positive,294,data science OR coding OR programming
2018-01-30,negative,68,data science OR coding OR programming
2018-01-30,neutral,558,data science OR coding OR programming
2018-01-30,positive,394,data science OR coding OR programming
2018-01-31,negative,56,data science OR coding OR programming
2018-01-31,neutral,574,data science OR coding OR programming
2018-01-31,positive,390,data science OR coding OR programming
2018-02-01,negative,52,data science OR coding OR programming
2018-02-01,neutral,614,data science OR coding OR programming
2018-02-01,positive,353,data science OR coding OR programming
2018-02-02,negative,65,data science OR coding OR programming
2018-02-02,neutral,591,data science OR coding OR programming
2018-02-02,positive,364,data science OR coding OR programming
2018-02-03,negative,86,data science OR coding OR programming
2018-02-03,neutral,604,data science OR coding OR programming
2018-02-03,positive,330,data science OR coding OR programming
2018-02-04,negative,102,data science OR coding OR programming
2018-02-04,neutral,653,data science OR coding OR programming
2018-02-04,positive,265,data science OR coding OR programming
2018-02-05,negative,54,data science OR coding OR programming
2018-02-05,neutral,631,data science OR coding OR programming
2018-02-05,positive,335,data science OR coding OR programming
2018-02-06,negative,56,data science OR coding OR programming
2018-02-06,neutral,581,data science OR coding OR programming
2018-02-06,positive,383,data science OR coding OR programming
2018-02-07,negative,71,data science OR coding OR programming
2018-02-07,neutral,633,data science OR coding OR programming
2018-02-07,positive,316,data science OR coding OR programming
2018-02-08,negative,48,data science OR coding OR programming
2018-02-08,neutral,593,data science OR coding OR programming
2018-02-08,positive,379,data science OR coding OR programming
2018-02-09,negative,64,data science OR coding OR programming
2018-02-09,neutral,621,data science OR coding OR programming
2018-02-09,positive,335,data science OR coding OR programming
2018-02-10,negative,56,data science OR coding OR programming
2018-02-10,neutral,598,data science OR coding OR programming
2018-02-10,positive,366,data science OR coding OR programming
2018-02-11,negative,51,data science OR coding OR programming
2018-02-11,neutral,637,data science OR coding OR programming
2018-02-11,positive,332,data science OR coding OR programming
2018-02-12,negative,55,data science OR coding OR programming
2018-02-12,neutral,633,data science OR coding OR programming
2018-02-12,positive,332,data science OR coding OR programming
2018-02-13,negative,57,data science OR coding OR programming
2018-02-13,neutral,547,data science OR coding OR programming
2018-02-13,positive,416,data science OR coding OR programming
2018-02-14,negative,21,data science OR coding OR programming
2018-02-14,neutral,156,data science OR coding OR programming
2018-02-14,positive,123,data science OR coding OR programming
2018-02-15,negative,56,data science OR coding OR programming
2018-02-15,neutral,616,data science OR coding OR programming
2018-02-15,positive,348,data science OR coding OR programming
2018-02-16,negative,55,data science OR coding OR programming
2018-02-16,neutral,573,data science OR coding OR programming
2018-02-16,positive,392,data science OR coding OR programming
2018-02-17,negative,102,data science OR coding OR programming
2018-02-17,neutral,556,data science OR coding OR programming
2018-02-17,positive,362,data science OR coding OR programming
2018-02-18,negative,84,data science OR coding OR programming
2018-02-18,neutral,561,data science OR coding OR programming
2018-02-18,positive,375,data science OR coding OR programming
2018-02-19,negative,55,data science OR coding OR programming
2018-02-19,neutral,685,data science OR coding OR programming
2018-02-19,positive,280,data science OR coding OR programming
2018-02-20,negative,69,data science OR coding OR programming
2018-02-20,neutral,618,data science OR coding OR programming
2018-02-20,positive,333,data science OR coding OR programming
2018-02-21,negative,63,data science OR coding OR programming
2018-02-21,neutral,606,data science OR coding OR programming
2018-02-21,positive,351,data science OR coding OR programming
2018-02-22,negative,72,data science OR coding OR programming
2018-02-22,neutral,583,data science OR coding OR programming
2018-02-22,positive,365,data science OR coding OR programming
2018-02-23,negative,51,data science OR coding OR programming
2018-02-23,neutral,602,data science OR coding OR programming
2018-02-23,positive,367,data science OR coding OR programming
2018-02-24,negative,60,data science OR coding OR programming
2018-02-24,neutral,540,data science OR coding OR programming
2018-02-24,positive,420,data science OR coding OR programming
2018-02-25,negative,62,data science OR coding OR programming
2018-02-25,neutral,508,data science OR coding OR programming
2018-02-25,positive,450,data science OR coding OR programming
